% Ag_d140nm_h50nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -9.64626543e-22       9.38100020e-22      -9.64626543e-22       9.38100020e-22       4.25881225e-23       3.12966376e-22
410.00      -1.05550728e-21       1.07664498e-21      -1.05550728e-21       1.07664498e-21      -5.35136188e-22       8.68744326e-22
420.00      -1.13395614e-21       1.19554405e-21      -1.13395614e-21       1.19554405e-21      -4.06052717e-22       1.58932389e-21
430.00      -1.21190034e-21       1.30632690e-21      -1.21190034e-21       1.30632690e-21      -5.62011669e-24       1.96342607e-21
440.00      -1.28333758e-21       1.41361053e-21      -1.28333758e-21       1.41361053e-21       3.67054384e-22       2.08024267e-21
450.00      -1.35570301e-21       1.52457046e-21      -1.35570301e-21       1.52457046e-21       6.72727331e-22       2.09617515e-21
460.00      -1.42436099e-21       1.65148013e-21      -1.42436099e-21       1.65148013e-21       9.34736738e-22       2.03819368e-21
470.00      -1.49148072e-21       1.78732273e-21      -1.49148072e-21       1.78732273e-21       1.14099277e-21       1.95228289e-21
480.00      -1.56582851e-21       1.92294546e-21      -1.56582851e-21       1.92294546e-21       1.30777132e-21       1.87516893e-21
490.00      -1.64172706e-21       2.06376021e-21      -1.64172706e-21       2.06376021e-21       1.44514396e-21       1.79580439e-21
500.00      -1.71749885e-21       2.21714477e-21      -1.71749885e-21       2.21714477e-21       1.56149628e-21       1.70882289e-21
510.00      -1.79256992e-21       2.38405636e-21      -1.79256992e-21       2.38405636e-21       1.65872002e-21       1.61815534e-21
520.00      -1.86606948e-21       2.56547555e-21      -1.86606948e-21       2.56547555e-21       1.73885656e-21       1.52674053e-21
530.00      -1.93258208e-21       2.76447758e-21      -1.93258208e-21       2.76447758e-21       1.80123072e-21       1.43502321e-21
540.00      -1.99044174e-21       2.97960393e-21      -1.99044174e-21       2.97960393e-21       1.84872742e-21       1.34702622e-21
550.00      -2.04887155e-21       3.20573219e-21      -2.04887155e-21       3.20573219e-21       1.89000606e-21       1.26732925e-21
560.00      -2.11241305e-21       3.44169357e-21      -2.11241305e-21       3.44169357e-21       1.92847401e-21       1.19535505e-21
570.00      -2.17390997e-21       3.69290148e-21      -2.17390997e-21       3.69290148e-21       1.96138685e-21       1.12781155e-21
580.00      -2.22325910e-21       3.96495190e-21      -2.22325910e-21       3.96495190e-21       1.98644538e-21       1.06294451e-21
590.00      -2.24950250e-21       4.26157822e-21      -2.24950250e-21       4.26157822e-21       2.00235989e-21       1.00052036e-21
600.00      -2.25103724e-21       4.58095697e-21      -2.25103724e-21       4.58095697e-21       2.01193226e-21       9.41728412e-22
610.00      -2.23138096e-21       4.92114759e-21      -2.23138096e-21       4.92114759e-21       2.01827524e-21       8.86888356e-22
620.00      -2.19491810e-21       5.28161355e-21      -2.19491810e-21       5.28161355e-21       2.02372969e-21       8.35763904e-22
630.00      -2.13766410e-21       5.66204607e-21      -2.13766410e-21       5.66204607e-21       2.02820949e-21       7.88177311e-22
640.00      -2.05086546e-21       6.06257265e-21      -2.05086546e-21       6.06257265e-21       2.03104638e-21       7.43597982e-22
650.00      -1.92458786e-21       6.48246006e-21      -1.92458786e-21       6.48246006e-21       2.03190308e-21       7.01695172e-22
660.00      -1.74783141e-21       6.91795687e-21      -1.74783141e-21       6.91795687e-21       2.03056453e-21       6.62319969e-22
670.00      -1.51255628e-21       7.36281475e-21      -1.51255628e-21       7.36281475e-21       2.02727308e-21       6.25311231e-22
680.00      -1.21433542e-21       7.80813814e-21      -1.21433542e-21       7.80813814e-21       2.02264004e-21       5.90602542e-22
690.00      -8.49798114e-22       8.24225876e-21      -8.49798114e-22       8.24225876e-21       2.01703231e-21       5.58208481e-22
700.00      -4.16894387e-22       8.65222328e-21      -4.16894387e-22       8.65222328e-21       2.01066208e-21       5.27957883e-22
710.00       8.31667938e-23       9.02387513e-21       8.31667938e-23       9.02387513e-21       2.00375355e-21       4.99754323e-22
720.00       6.47488417e-22       9.34358594e-21       6.47488417e-22       9.34358594e-21       1.99635218e-21       4.73285393e-22
730.00       1.26718985e-21       9.59527715e-21       1.26718985e-21       9.59527715e-21       1.98861255e-21       4.48560991e-22
740.00       1.92798037e-21       9.76576952e-21       1.92798037e-21       9.76576952e-21       1.98063199e-21       4.25521824e-22
750.00       2.60869248e-21       9.84500672e-21       2.60869248e-21       9.84500672e-21       1.97258025e-21       4.04234399e-22
760.00       3.28928811e-21       9.83030316e-21       3.28928811e-21       9.83030316e-21       1.96453554e-21       3.84599226e-22
770.00       3.94865644e-21       9.72698498e-21       3.94865644e-21       9.72698498e-21       1.95668482e-21       3.66508463e-22
780.00       4.57312437e-21       9.54327013e-21       4.57312437e-21       9.54327013e-21       1.94895806e-21       3.49713824e-22
790.00       5.15377497e-21       9.28779647e-21       5.15377497e-21       9.28779647e-21       1.94126779e-21       3.33979598e-22
800.00       5.68223523e-21       8.97150358e-21       5.68223523e-21       8.97150358e-21       1.93355651e-21       3.19142664e-22
