% Ag_d70nm_h20nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -2.65469299e-22       6.02432102e-23      -2.65469299e-22       6.02432102e-23      -2.04343756e-22       6.97709603e-22
410.00      -3.04354232e-22       7.28653714e-23      -3.04354232e-22       7.28653714e-23       5.01773425e-22       5.44410764e-22
420.00      -3.44826716e-22       8.55811548e-23      -3.44826716e-22       8.55811548e-23       4.79433971e-22       2.36032268e-22
430.00      -3.87991871e-22       9.83165305e-23      -3.87991871e-22       9.83165305e-23       4.10678330e-22       1.31654263e-22
440.00      -4.32744735e-22       1.14739321e-22      -4.32744735e-22       1.14739321e-22       3.61091211e-22       8.93467247e-23
450.00      -4.82851119e-22       1.34443488e-22      -4.82851119e-22       1.34443488e-22       3.26280029e-22       6.58441074e-23
460.00      -5.43704858e-22       1.63932937e-22      -5.43704858e-22       1.63932937e-22       2.97683602e-22       5.11120199e-23
470.00      -6.14091624e-22       2.03278385e-22      -6.14091624e-22       2.03278385e-22       2.75970967e-22       4.15161396e-23
480.00      -6.92553081e-22       2.46544508e-22      -6.92553081e-22       2.46544508e-22       2.60711123e-22       3.43391419e-23
490.00      -7.81179507e-22       3.00575999e-22      -7.81179507e-22       3.00575999e-22       2.48723047e-22       2.90985305e-23
500.00      -8.86472721e-22       3.73842282e-22      -8.86472721e-22       3.73842282e-22       2.38502711e-22       2.49835577e-23
510.00      -1.01188474e-21       4.75946816e-22      -1.01188474e-21       4.75946816e-22       2.29699116e-22       2.16896583e-23
520.00      -1.16007117e-21       6.22228368e-22      -1.16007117e-21       6.22228368e-22       2.22074648e-22       1.90187769e-23
530.00      -1.32692720e-21       8.47186213e-22      -1.32692720e-21       8.47186213e-22       2.15261857e-22       1.69540609e-23
540.00      -1.48664881e-21       1.19414256e-21      -1.48664881e-21       1.19414256e-21       2.09239621e-22       1.53711972e-23
550.00      -1.59488288e-21       1.68875889e-21      -1.59488288e-21       1.68875889e-21       2.04247855e-22       1.39246689e-23
560.00      -1.56899945e-21       2.35060274e-21      -1.56899945e-21       2.35060274e-21       2.00192761e-22       1.25208239e-23
570.00      -1.21482631e-21       3.16198768e-21      -1.21482631e-21       3.16198768e-21       1.96685793e-22       1.12616852e-23
580.00      -2.84928275e-22       3.83304265e-21      -2.84928275e-22       3.83304265e-21       1.93442384e-22       1.02185704e-23
590.00       1.00619607e-21       3.77051201e-21       1.00619607e-21       3.77051201e-21       1.90328669e-22       9.42576004e-24
600.00       1.88375061e-21       3.01904716e-21       1.88375061e-21       3.01904716e-21       1.87396946e-22       8.79516767e-24
610.00       2.17749852e-21       2.20699148e-21       2.17749852e-21       2.20699148e-21       1.84746278e-22       8.23298082e-24
620.00       2.17597047e-21       1.60132871e-21       2.17597047e-21       1.60132871e-21       1.82403261e-22       7.65805004e-24
630.00       2.06914362e-21       1.18367511e-21       2.06914362e-21       1.18367511e-21       1.80325660e-22       7.09181025e-24
640.00       1.93348292e-21       8.95522663e-22       1.93348292e-21       8.95522663e-22       1.78439786e-22       6.55905959e-24
650.00       1.79675199e-21       6.91949375e-22       1.79675199e-21       6.91949375e-22       1.76684034e-22       6.07096331e-24
660.00       1.66857695e-21       5.45244648e-22       1.66857695e-21       5.45244648e-22       1.75021352e-22       5.63615178e-24
670.00       1.55336314e-21       4.37658699e-22       1.55336314e-21       4.37658699e-22       1.73443418e-22       5.24492911e-24
680.00       1.45266848e-21       3.57354044e-22       1.45266848e-21       3.57354044e-22       1.71958303e-22       4.88978530e-24
690.00       1.36498931e-21       2.96234733e-22       1.36498931e-21       2.96234733e-22       1.70563779e-22       4.56741997e-24
700.00       1.28878339e-21       2.48966721e-22       1.28878339e-21       2.48966721e-22       1.69249907e-22       4.27244426e-24
710.00       1.22247338e-21       2.11788782e-22       1.22247338e-21       2.11788782e-22       1.68019117e-22       4.00272454e-24
720.00       1.16415896e-21       1.81769124e-22       1.16415896e-21       1.81769124e-22       1.66849825e-22       3.74730632e-24
730.00       1.11269341e-21       1.57415213e-22       1.11269341e-21       1.57415213e-22       1.65758380e-22       3.51738831e-24
740.00       1.06709165e-21       1.37624315e-22       1.06709165e-21       1.37624315e-22       1.64720897e-22       3.30990861e-24
750.00       1.02684821e-21       1.21624311e-22       1.02684821e-21       1.21624311e-22       1.63756978e-22       3.12615674e-24
760.00       9.90990450e-22       1.08665361e-22       9.90990450e-22       1.08665361e-22       1.62852537e-22       2.97037227e-24
770.00       9.59042522e-22       9.81169806e-23       9.59042522e-22       9.81169806e-23       1.62010714e-22       2.83850703e-24
780.00       9.30402285e-22       8.93454513e-23       9.30402285e-22       8.93454513e-23       1.61221959e-22       2.72360203e-24
790.00       9.04530409e-22       8.18554060e-23       9.04530409e-22       8.18554060e-23       1.60471921e-22       2.61909393e-24
800.00       8.80703231e-22       7.52409307e-23       8.80703231e-22       7.52409307e-23       1.59757370e-22       2.51989798e-24
