% Ag_d40nm_h20nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -1.33046941e-22       2.37628920e-23      -1.33046941e-22       2.37628920e-23      -2.28113951e-22       1.31406790e-22
410.00      -1.67733180e-22       3.31882182e-23      -1.67733180e-22       3.31882182e-23      -2.45244871e-22       5.74920570e-22
420.00      -2.09246406e-22       4.55717454e-23      -2.09246406e-22       4.55717454e-23       4.14679372e-22       4.33914050e-22
430.00      -2.61768785e-22       6.21196623e-23      -2.61768785e-22       6.21196623e-23       3.47973234e-22       1.39347267e-22
440.00      -3.28029359e-22       9.20640936e-23      -3.28029359e-22       9.20640936e-23       2.66378769e-22       6.77941733e-23
450.00      -4.20989587e-22       1.46182720e-22      -4.20989587e-22       1.46182720e-22       2.18303441e-22       4.04203455e-23
460.00      -5.64402798e-22       2.81459354e-22      -5.64402798e-22       2.81459354e-22       1.84630855e-22       2.72407337e-23
470.00      -7.21366051e-22       6.42383164e-22      -7.21366051e-22       6.42383164e-22       1.61846370e-22       2.01431503e-23
480.00      -4.89806946e-22       1.38036244e-21      -4.89806946e-22       1.38036244e-21       1.46987800e-22       1.53314650e-23
490.00       5.95494865e-22       1.40765982e-21       5.95494865e-22       1.40765982e-21       1.36027941e-22       1.21815287e-23
500.00       8.62187618e-22       6.84907677e-22       8.62187618e-22       6.84907677e-22       1.27139121e-22       9.89732918e-24
510.00       7.21094876e-22       3.35283946e-22       7.21094876e-22       3.35283946e-22       1.19825034e-22       8.20042997e-24
520.00       5.86726490e-22       1.89356910e-22       5.86726490e-22       1.89356910e-22       1.13716175e-22       6.90416326e-24
530.00       4.88311352e-22       1.20746807e-22       4.88311352e-22       1.20746807e-22       1.08438227e-22       5.99748244e-24
540.00       4.18630826e-22       8.50259875e-23       4.18630826e-22       8.50259875e-23       1.03905404e-22       5.37116122e-24
550.00       3.71235167e-22       6.33046508e-23       3.71235167e-22       6.33046508e-23       1.00229698e-22       4.77764800e-24
560.00       3.38066393e-22       4.83708919e-23       3.38066393e-22       4.83708919e-23       9.72773798e-23       4.16434585e-24
570.00       3.12521910e-22       3.77892582e-23       3.12521910e-22       3.77892582e-23       9.47653353e-23       3.61728808e-24
580.00       2.91182718e-22       3.03762873e-23       2.91182718e-22       3.03762873e-23       9.24820661e-23       3.19074556e-24
590.00       2.72478802e-22       2.54061419e-23       2.72478802e-22       2.54061419e-23       9.03194381e-23       2.91082606e-24
600.00       2.56441047e-22       2.19319931e-23       2.56441047e-22       2.19319931e-23       8.83339874e-23       2.71674309e-24
610.00       2.42923322e-22       1.91665376e-23       2.42923322e-22       1.91665376e-23       8.65384489e-23       2.54142602e-24
620.00       2.31788229e-22       1.66891711e-23       2.31788229e-22       1.66891711e-23       8.49676999e-23       2.34537490e-24
630.00       2.22492159e-22       1.44895133e-23       2.22492159e-22       1.44895133e-23       8.35967962e-23       2.13606400e-24
640.00       2.14439337e-22       1.25955822e-23       2.14439337e-22       1.25955822e-23       8.23543220e-23       1.93725837e-24
650.00       2.07299618e-22       1.09922188e-23       2.07299618e-22       1.09922188e-23       8.12109216e-23       1.75609275e-24
660.00       2.00819133e-22       9.66088581e-24       2.00819133e-22       9.66088581e-24       8.01356468e-23       1.59885119e-24
670.00       1.94912049e-22       8.55153899e-24       1.94912049e-22       8.55153899e-24       7.91233616e-23       1.46254298e-24
680.00       1.89539461e-22       7.60225548e-24       1.89539461e-22       7.60225548e-24       7.81703704e-23       1.33851278e-24
690.00       1.84686351e-22       6.78908081e-24       1.84686351e-22       6.78908081e-24       7.72898569e-23       1.23036955e-24
700.00       1.80254301e-22       6.08944572e-24       1.80254301e-22       6.08944572e-24       7.64629895e-23       1.13189818e-24
710.00       1.76216508e-22       5.48170272e-24       1.76216508e-22       5.48170272e-24       7.56920087e-23       1.04362498e-24
720.00       1.72499855e-22       4.93582358e-24       1.72499855e-22       4.93582358e-24       7.49657710e-23       9.60108509e-25
730.00       1.69092370e-22       4.45724385e-24       1.69092370e-22       4.45724385e-24       7.42806271e-23       8.84253002e-25
740.00       1.65951657e-22       4.04862344e-24       1.65951657e-22       4.04862344e-24       7.36448538e-23       8.18719536e-25
750.00       1.63074398e-22       3.71322123e-24       1.63074398e-22       3.71322123e-24       7.30510323e-23       7.64312465e-25
760.00       1.60430066e-22       3.44969392e-24       1.60430066e-22       3.44969392e-24       7.24950748e-23       7.22563780e-25
770.00       1.58024982e-22       3.24818002e-24       1.58024982e-22       3.24818002e-24       7.19836813e-23       6.91631153e-25
780.00       1.55806973e-22       3.08674367e-24       1.55806973e-22       3.08674367e-24       7.15038987e-23       6.67547296e-25
790.00       1.53727332e-22       2.94708161e-24       1.53727332e-22       2.94708161e-24       7.10492096e-23       6.46967998e-25
800.00       1.51775149e-22       2.81625997e-24       1.51775149e-22       2.81625997e-24       7.06159750e-23       6.27068216e-25
