% Ag_d110nm_h60nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -6.46963821e-22       5.85269303e-22      -6.46963821e-22       5.85269303e-22      -4.60696121e-22       4.20994046e-22
410.00      -8.36327798e-22       7.62019256e-22      -8.36327798e-22       7.62019256e-22      -6.99473278e-22       7.64403141e-22
420.00      -9.38728296e-22       9.05558909e-22      -9.38728296e-22       9.05558909e-22      -7.81413057e-22       1.09356108e-21
430.00      -1.02461558e-21       1.03482559e-21      -1.02461558e-21       1.03482559e-21      -7.91193823e-22       1.40076121e-21
440.00      -1.09705450e-21       1.16049243e-21      -1.09705450e-21       1.16049243e-21      -7.35621634e-22       1.68142822e-21
450.00      -1.16728208e-21       1.29183917e-21      -1.16728208e-21       1.29183917e-21      -6.32123320e-22       1.95103743e-21
460.00      -1.22990589e-21       1.44409564e-21      -1.22990589e-21       1.44409564e-21      -4.51778640e-22       2.20850206e-21
470.00      -1.28614520e-21       1.61039286e-21      -1.28614520e-21       1.61039286e-21      -2.17085293e-22       2.42620616e-21
480.00      -1.34617385e-21       1.78153831e-21      -1.34617385e-21       1.78153831e-21       3.32638382e-23       2.60615565e-21
490.00      -1.40198813e-21       1.96406809e-21      -1.40198813e-21       1.96406809e-21       3.06030345e-22       2.73809325e-21
500.00      -1.44976772e-21       2.16718931e-21      -1.44976772e-21       2.16718931e-21       6.02546832e-22       2.81475359e-21
510.00      -1.48596069e-21       2.39267965e-21      -1.48596069e-21       2.39267965e-21       9.05765076e-22       2.83144573e-21
520.00      -1.50632090e-21       2.64167676e-21      -1.50632090e-21       2.64167676e-21       1.19812183e-21       2.79058784e-21
530.00      -1.49915027e-21       2.91569944e-21      -1.49915027e-21       2.91569944e-21       1.46362133e-21       2.69307321e-21
540.00      -1.45821502e-21       3.21017182e-21      -1.45821502e-21       3.21017182e-21       1.68800166e-21       2.55650138e-21
550.00      -1.39402260e-21       3.51935794e-21      -1.39402260e-21       3.51935794e-21       1.87409829e-21       2.41003640e-21
560.00      -1.31016193e-21       3.84213860e-21      -1.31016193e-21       3.84213860e-21       2.02959762e-21       2.26511651e-21
570.00      -1.19119126e-21       4.17884151e-21      -1.19119126e-21       4.17884151e-21       2.15593371e-21       2.11780560e-21
580.00      -1.01741045e-21       4.52330103e-21      -1.01741045e-21       4.52330103e-21       2.25190460e-21       1.96686717e-21
590.00      -7.69926781e-22       4.86058151e-21      -7.69926781e-22       4.86058151e-21       2.31689506e-21       1.81461773e-21
600.00      -4.50864127e-22       5.17308705e-21      -4.50864127e-22       5.17308705e-21       2.35736767e-21       1.66886664e-21
610.00      -7.21118049e-23       5.44883909e-21      -7.21118049e-23       5.44883909e-21       2.38188364e-21       1.53411906e-21
620.00       3.52367763e-22       5.68181869e-21       3.52367763e-22       5.68181869e-21       2.39733150e-21       1.41149232e-21
630.00       8.14540889e-22       5.85962547e-21       8.14540889e-22       5.85962547e-21       2.40543586e-21       1.30019040e-21
640.00       1.30588909e-21       5.96892001e-21       1.30588909e-21       5.96892001e-21       2.40658733e-21       1.19865021e-21
650.00       1.81390809e-21       5.99858339e-21       1.81390809e-21       5.99858339e-21       2.40131758e-21       1.10553194e-21
660.00       2.32002980e-21       5.94164900e-21       2.32002980e-21       5.94164900e-21       2.39016848e-21       1.02013996e-21
670.00       2.80369285e-21       5.80107497e-21       2.80369285e-21       5.80107497e-21       2.37442568e-21       9.41964394e-22
680.00       3.24571032e-21       5.58962567e-21       3.24571032e-21       5.58962567e-21       2.35564985e-21       8.70722657e-22
690.00       3.63217387e-21       5.32400368e-21       3.63217387e-21       5.32400368e-21       2.33482579e-21       8.05997178e-22
700.00       3.95685718e-21       5.02129966e-21       3.95685718e-21       5.02129966e-21       2.31282985e-21       7.47310376e-22
710.00       4.21887925e-21       4.69796521e-21       4.21887925e-21       4.69796521e-21       2.29016121e-21       6.94049219e-22
720.00       4.42258402e-21       4.36643937e-21       4.42258402e-21       4.36643937e-21       2.26701361e-21       6.45372272e-22
730.00       4.57250729e-21       4.03879407e-21       4.57250729e-21       4.03879407e-21       2.24389047e-21       6.01140543e-22
740.00       4.67543939e-21       3.72407342e-21       4.67543939e-21       3.72407342e-21       2.22096858e-21       5.60995267e-22
750.00       4.73842036e-21       3.42724305e-21       4.73842036e-21       3.42724305e-21       2.19842465e-21       5.24652896e-22
760.00       4.76923570e-21       3.15316888e-21       4.76923570e-21       3.15316888e-21       2.17648516e-21       4.91913800e-22
770.00       4.77521768e-21       2.90308605e-21       4.77521768e-21       2.90308605e-21       2.15541867e-21       4.62406014e-22
780.00       4.76277077e-21       2.67560466e-21       4.76277077e-21       2.67560466e-21       2.13510621e-21       4.35585234e-22
790.00       4.73604065e-21       2.46786491e-21       4.73604065e-21       2.46786491e-21       2.11546866e-21       4.10983289e-22
800.00       4.69888335e-21       2.27823039e-21       4.69888335e-21       2.27823039e-21       2.09631884e-21       3.88192727e-22
