% Au_d160nm_h70nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -7.64113201e-23       1.51649798e-21      -7.64113201e-23       1.51649798e-21       4.07301918e-22       8.75548220e-22
410.00      -1.11346029e-22       1.56419951e-21      -1.11346029e-22       1.56419951e-21       4.11516386e-22       9.37763013e-22
420.00      -1.45705161e-22       1.60910983e-21      -1.45705161e-22       1.60910983e-21       4.14794951e-22       9.98489431e-22
430.00      -1.80127418e-22       1.65079153e-21      -1.80127418e-22       1.65079153e-21       4.16723474e-22       1.05777607e-21
440.00      -2.24920483e-22       1.68853269e-21      -2.24920483e-22       1.68853269e-21       4.13270284e-22       1.12048657e-21
450.00      -2.78421167e-22       1.72031858e-21      -2.78421167e-22       1.72031858e-21       4.03576161e-22       1.18518233e-21
460.00      -3.26262009e-22       1.74227565e-21      -3.26262009e-22       1.74227565e-21       3.90613350e-22       1.24291116e-21
470.00      -3.77934060e-22       1.76100727e-21      -3.77934060e-22       1.76100727e-21       3.74264511e-22       1.30098999e-21
480.00      -4.59338581e-22       1.78786204e-21      -4.59338581e-22       1.78786204e-21       3.50647836e-22       1.37842788e-21
490.00      -5.78481071e-22       1.81018595e-21      -5.78481071e-22       1.81018595e-21       3.10198751e-22       1.47628281e-21
500.00      -7.22231001e-22       1.83782112e-21      -7.22231001e-22       1.83782112e-21       2.65737717e-22       1.59128409e-21
510.00      -9.26694951e-22       1.92061256e-21      -9.26694951e-22       1.92061256e-21       2.35395440e-22       1.75134950e-21
520.00      -1.13855027e-21       2.03187198e-21      -1.13855027e-21       2.03187198e-21       1.96474329e-22       1.90213919e-21
530.00      -1.31448337e-21       2.16352311e-21      -1.31448337e-21       2.16352311e-21       1.35994038e-22       2.06358997e-21
540.00      -1.49539753e-21       2.33893189e-21      -1.49539753e-21       2.33893189e-21       7.54521487e-23       2.32235002e-21
550.00      -1.67451806e-21       2.54316484e-21      -1.67451806e-21       2.54316484e-21       8.39538164e-23       2.67270306e-21
560.00      -1.84777985e-21       2.76597691e-21      -1.84777985e-21       2.76597691e-21       1.99404468e-22       3.05926993e-21
570.00      -2.01056332e-21       3.01192267e-21      -2.01056332e-21       3.01192267e-21       4.37057102e-22       3.42663258e-21
580.00      -2.15790240e-21       3.28123913e-21      -2.15790240e-21       3.28123913e-21       7.77195042e-22       3.71965676e-21
590.00      -2.28681688e-21       3.57581461e-21      -2.28681688e-21       3.57581461e-21       1.18046722e-21       3.90743396e-21
600.00      -2.39902748e-21       3.89384108e-21      -2.39902748e-21       3.89384108e-21       1.59974278e-21       3.99073545e-21
610.00      -2.49680652e-21       4.22828069e-21      -2.49680652e-21       4.22828069e-21       1.99488503e-21       3.99014829e-21
620.00      -2.58485009e-21       4.57270904e-21      -2.58485009e-21       4.57270904e-21       2.34759036e-21       3.93664736e-21
630.00      -2.66756014e-21       4.93072403e-21      -2.66756014e-21       4.93072403e-21       2.66242208e-21       3.84980843e-21
640.00      -2.73849112e-21       5.30565319e-21      -2.73849112e-21       5.30565319e-21       2.93882743e-21       3.73539425e-21
650.00      -2.78807033e-21       5.69627776e-21      -2.78807033e-21       5.69627776e-21       3.17315696e-21       3.59946271e-21
660.00      -2.80526006e-21       6.09933215e-21      -2.80526006e-21       6.09933215e-21       3.36288578e-21       3.44957913e-21
670.00      -2.79299885e-21       6.51527080e-21      -2.79299885e-21       6.51527080e-21       3.51770024e-21       3.29588819e-21
680.00      -2.75709618e-21       6.94732729e-21      -2.75709618e-21       6.94732729e-21       3.64832194e-21       3.14418888e-21
690.00      -2.69314899e-21       7.39546725e-21      -2.69314899e-21       7.39546725e-21       3.75782832e-21       2.99570557e-21
700.00      -2.59631749e-21       7.85855651e-21      -2.59631749e-21       7.85855651e-21       3.84862233e-21       2.85148730e-21
710.00      -2.46129887e-21       8.33473197e-21      -2.46129887e-21       8.33473197e-21       3.92298526e-21       2.71200250e-21
720.00      -2.28559021e-21       8.81940265e-21      -2.28559021e-21       8.81940265e-21       3.98335513e-21       2.57886319e-21
730.00      -2.06596983e-21       9.30935578e-21      -2.06596983e-21       9.30935578e-21       4.03213984e-21       2.45231052e-21
740.00      -1.79855724e-21       9.80119433e-21      -1.79855724e-21       9.80119433e-21       4.07101772e-21       2.33195545e-21
750.00      -1.47957478e-21       1.02906449e-20      -1.47957478e-21       1.02906449e-20       4.10168348e-21       2.21738546e-21
760.00      -1.10642111e-21       1.07716769e-20      -1.10642111e-21       1.07716769e-20       4.12521736e-21       2.10841766e-21
770.00      -6.77409125e-22       1.12340675e-20      -6.77409125e-22       1.12340675e-20       4.14237699e-21       2.00533129e-21
780.00      -1.92056960e-22       1.16691653e-20      -1.92056960e-22       1.16691653e-20       4.15409915e-21       1.90802840e-21
790.00       3.46472135e-22       1.20686901e-20       3.46472135e-22       1.20686901e-20       4.16135251e-21       1.81620618e-21
800.00       9.35470704e-22       1.24245590e-20       9.35470704e-22       1.24245590e-20       4.16485818e-21       1.72947298e-21
