% Au_d20nm_h30nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00       1.36704381e-23       2.31395399e-23       1.36704381e-23       2.31395399e-23      -8.34835204e-25       3.03544972e-23
410.00       1.37894465e-23       2.32551346e-23       1.37894465e-23       2.32551346e-23      -8.72452836e-25       3.05404752e-23
420.00       1.38098231e-23       2.33151606e-23       1.38098231e-23       2.33151606e-23      -8.99757032e-25       3.05807375e-23
430.00       1.37163610e-23       2.33629756e-23       1.37163610e-23       2.33629756e-23      -9.66487626e-25       3.04788332e-23
440.00       1.34186539e-23       2.37489100e-23       1.34186539e-23       2.37489100e-23      -1.53445136e-24       3.03046731e-23
450.00       1.28931723e-23       2.43725189e-23       1.28931723e-23       2.43725189e-23      -2.47193573e-24       2.99833667e-23
460.00       1.21410353e-23       2.47327026e-23       1.21410353e-23       2.47327026e-23      -3.17875366e-24       2.93031144e-23
470.00       1.13154741e-23       2.51870392e-23       1.13154741e-23       2.51870392e-23      -3.99626656e-24       2.86182070e-23
480.00       1.05413872e-23       2.66553492e-23       1.05413872e-23       2.66553492e-23      -5.75728275e-24       2.84058439e-23
490.00       9.30026907e-24       2.93890244e-23       9.30026907e-24       2.93890244e-23      -8.69091396e-24       2.80578237e-23
500.00       8.01339288e-24       3.33257330e-23       8.01339288e-24       3.33257330e-23      -1.22786721e-23       2.76658955e-23
510.00       9.01177261e-24       4.10562131e-23       9.01177261e-24       4.10562131e-23      -1.82734969e-23       2.83956621e-23
520.00       1.32026281e-23       4.98383152e-23       1.32026281e-23       4.98383152e-23      -2.55059700e-23       2.94024919e-23
530.00       2.01616432e-23       5.62768346e-23       2.01616432e-23       5.62768346e-23      -3.23738228e-23       3.16121529e-23
540.00       3.26502523e-23       6.08586271e-23       3.26502523e-23       6.08586271e-23      -4.10568751e-23       3.59008462e-23
550.00       4.87519785e-23       5.84801275e-23       4.87519785e-23       5.84801275e-23      -5.15627391e-23       4.20232175e-23
560.00       6.11982779e-23       4.80489299e-23       6.11982779e-23       4.80489299e-23      -6.43027229e-23       5.01627021e-23
570.00       6.58902995e-23       3.48308666e-23       6.58902995e-23       3.48308666e-23      -8.01770175e-23       6.21897388e-23
580.00       6.47475469e-23       2.39002720e-23       6.47475469e-23       2.39002720e-23      -1.00026790e-22       8.15090960e-23
590.00       6.11665796e-23       1.63712459e-23       6.11665796e-23       1.63712459e-23      -1.23884817e-22       1.15547552e-22
600.00       5.71955255e-23       1.14565223e-23       5.71955255e-23       1.14565223e-23      -1.46474042e-22       1.78701803e-22
610.00       5.36661190e-23       8.29150079e-24       5.36661190e-23       8.29150079e-24      -1.37820912e-22       2.90275097e-22
620.00       5.07831528e-23       6.19900084e-24       5.07831528e-23       6.19900084e-24      -1.95559194e-23       4.19757383e-22
630.00       4.84381673e-23       4.70162501e-24       4.84381673e-23       4.70162501e-24       1.95448371e-22       4.06539799e-22
640.00       4.64666335e-23       3.61797169e-24       4.64666335e-23       3.61797169e-24       2.95026070e-22       2.57952939e-22
650.00       4.47638579e-23       2.86187665e-24       4.47638579e-23       2.86187665e-24       2.82701344e-22       1.45073594e-22
660.00       4.32688471e-23       2.37828648e-24       4.32688471e-23       2.37828648e-24       2.45730237e-22       8.70576096e-23
670.00       4.19588850e-23       2.05041065e-24       4.19588850e-23       2.05041065e-24       2.13392655e-22       5.74409368e-23
680.00       4.08316486e-23       1.79277689e-24       4.08316486e-23       1.79277689e-24       1.88871176e-22       4.05764435e-23
690.00       3.98289112e-23       1.58713013e-24       3.98289112e-23       1.58713013e-24       1.69994188e-22       3.01836226e-23
700.00       3.89382936e-23       1.42297560e-24       3.89382936e-23       1.42297560e-24       1.55169342e-22       2.34114860e-23
710.00       3.81388773e-23       1.29265060e-24       3.81388773e-23       1.29265060e-24       1.43251654e-22       1.88015301e-23
720.00       3.74133311e-23       1.18870483e-24       3.74133311e-23       1.18870483e-24       1.33504606e-22       1.55549786e-23
730.00       3.67654013e-23       1.10411457e-24       3.67654013e-23       1.10411457e-24       1.25480765e-22       1.31908355e-23
740.00       3.61729412e-23       1.03217403e-24       3.61729412e-23       1.03217403e-24       1.18730434e-22       1.13891425e-23
750.00       3.56271493e-23       9.68301774e-25       3.56271493e-23       9.68301774e-25       1.12936347e-22       9.95569573e-24
760.00       3.51255753e-23       9.10115591e-25       3.51255753e-23       9.10115591e-25       1.07938685e-22       8.78679195e-24
770.00       3.46627178e-23       8.60070788e-25       3.46627178e-23       8.60070788e-25       1.03571239e-22       7.84527386e-24
780.00       3.42358011e-23       8.16637461e-25       3.42358011e-23       8.16637461e-25       9.97391323e-23       7.07787567e-24
790.00       3.38392615e-23       7.77313856e-25       3.38392615e-23       7.77313856e-25       9.63294245e-23       6.43234105e-24
800.00       3.34678051e-23       7.40883129e-25       3.34678051e-23       7.40883129e-25       9.33144562e-23       5.87965978e-24
