% Au_d20nm_h40nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00       1.89299658e-23       2.83167298e-23       1.89299658e-23       2.83167298e-23      -7.84965890e-24       3.88324588e-23
410.00       1.91173440e-23       2.84614370e-23       1.91173440e-23       2.84614370e-23      -7.95098850e-24       3.90717156e-23
420.00       1.91760206e-23       2.85582325e-23       1.91760206e-23       2.85582325e-23      -7.98075261e-24       3.91399844e-23
430.00       1.90962423e-23       2.86429286e-23       1.90962423e-23       2.86429286e-23      -7.99685952e-24       3.90197111e-23
440.00       1.88144039e-23       2.91699909e-23       1.88144039e-23       2.91699909e-23      -8.58309795e-24       3.86015339e-23
450.00       1.82958724e-23       3.00199717e-23       1.82958724e-23       3.00199717e-23      -9.54777762e-24       3.78623605e-23
460.00       1.74569632e-23       3.05972194e-23       1.74569632e-23       3.05972194e-23      -1.01010173e-23       3.68032739e-23
470.00       1.65419678e-23       3.13057751e-23       1.65419678e-23       3.13057751e-23      -1.07941751e-23       3.57052226e-23
480.00       1.58611084e-23       3.32518648e-23       1.58611084e-23       3.32518648e-23      -1.27679272e-23       3.48335852e-23
490.00       1.48822661e-23       3.68591583e-23       1.48822661e-23       3.68591583e-23      -1.60052267e-23       3.34433192e-23
500.00       1.42038110e-23       4.20155492e-23       1.42038110e-23       4.20155492e-23      -1.98763518e-23       3.18884497e-23
510.00       1.76484082e-23       5.10600795e-23       1.76484082e-23       5.10600795e-23      -2.64450832e-23       3.09871582e-23
520.00       2.54832388e-23       5.93163834e-23       2.54832388e-23       5.93163834e-23      -3.37540505e-23       3.01779711e-23
530.00       3.43425817e-23       6.31732804e-23       3.43425817e-23       6.31732804e-23      -4.03914954e-23       3.04562801e-23
540.00       4.66588898e-23       6.47742290e-23       4.66588898e-23       6.47742290e-23      -4.86129196e-23       3.16527388e-23
550.00       6.14872510e-23       6.06516803e-23       6.14872510e-23       6.06516803e-23      -5.81627521e-23       3.33155576e-23
560.00       7.27919154e-23       4.95802714e-23       7.27919154e-23       4.95802714e-23      -6.89645852e-23       3.52345851e-23
570.00       7.68348919e-23       3.61579288e-23       7.68348919e-23       3.61579288e-23      -8.14916646e-23       3.78526842e-23
580.00       7.52796953e-23       2.50846144e-23       7.52796953e-23       2.50846144e-23      -9.62543184e-23       4.17074370e-23
590.00       7.13600574e-23       1.73850061e-23       7.13600574e-23       1.73850061e-23      -1.14160597e-22       4.75996467e-23
600.00       6.71011219e-23       1.23285670e-23       6.71011219e-23       1.23285670e-23      -1.36364012e-22       5.62410017e-23
610.00       6.33237961e-23       9.03025772e-24       6.33237961e-23       9.03025772e-24      -1.63815671e-22       6.84472167e-23
620.00       6.02121267e-23       6.82173049e-24       6.02121267e-23       6.82173049e-24      -1.97666467e-22       8.51534575e-23
630.00       5.77033397e-23       5.22963674e-24       5.77033397e-23       5.22963674e-24      -2.41054622e-22       1.08023363e-22
640.00       5.55539962e-23       4.06288391e-24       5.55539962e-23       4.06288391e-24      -2.98459279e-22       1.42904106e-22
650.00       5.37013325e-23       3.24361169e-24       5.37013325e-23       3.24361169e-24      -3.74785365e-22       2.03769060e-22
660.00       5.20717437e-23       2.71516006e-24       5.20717437e-23       2.71516006e-24      -4.68315018e-22       3.24935607e-22
670.00       5.06273114e-23       2.35521965e-24       5.06273114e-23       2.35521965e-24      -5.43089802e-22       5.74066584e-22
680.00       4.93814391e-23       2.07018914e-24       4.93814391e-23       2.07018914e-24      -4.09584709e-22       1.00955576e-21
690.00       4.82762250e-23       1.84131130e-24       4.82762250e-23       1.84131130e-24       2.16933328e-22       1.22305641e-21
700.00       4.72916838e-23       1.65786623e-24       4.72916838e-23       1.65786623e-24       6.54786427e-22       8.20212279e-22
710.00       4.63954665e-23       1.51080972e-24       4.63954665e-23       1.51080972e-24       6.63028818e-22       4.58566437e-22
720.00       4.55916100e-23       1.39522616e-24       4.55916100e-23       1.39522616e-24       5.74725000e-22       2.73098433e-22
730.00       4.48719555e-23       1.29795195e-24       4.48719555e-23       1.29795195e-24       4.93427613e-22       1.78690944e-22
740.00       4.42053748e-23       1.21541943e-24       4.42053748e-23       1.21541943e-24       4.29827800e-22       1.25650423e-22
750.00       4.35996607e-23       1.14260761e-24       4.35996607e-23       1.14260761e-24       3.80986911e-22       9.32149707e-23
760.00       4.30414683e-23       1.07649166e-24       4.30414683e-23       1.07649166e-24       3.42973686e-22       7.19447128e-23
770.00       4.25140258e-23       1.01830821e-24       4.25140258e-23       1.01830821e-24       3.12765551e-22       5.74702630e-23
780.00       4.20329405e-23       9.67382436e-25       4.20329405e-23       9.67382436e-25       2.88302154e-22       4.71890400e-23
790.00       4.15897814e-23       9.22303795e-25       4.15897814e-23       9.22303795e-25       2.68228441e-22       3.95980547e-23
800.00       4.11711638e-23       8.80452306e-25       4.11711638e-23       8.80452306e-25       2.51474669e-22       3.37760448e-23
