% Au_d80nm_h20nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -8.11930056e-23       2.62382439e-22      -8.11930056e-23       2.62382439e-22       1.22173620e-22       1.21476617e-22
410.00      -8.24906057e-23       2.66764503e-22      -8.24906057e-23       2.66764503e-22       1.24446193e-22       1.22222379e-22
420.00      -8.31027877e-23       2.70076221e-22      -8.31027877e-23       2.70076221e-22       1.26148726e-22       1.22862716e-22
430.00      -8.33638533e-23       2.72097807e-22      -8.33638533e-23       2.72097807e-22       1.27288328e-22       1.23576582e-22
440.00      -8.69518572e-23       2.71542405e-22      -8.69518572e-23       2.71542405e-22       1.28188876e-22       1.25946921e-22
450.00      -9.28533166e-23       2.68389134e-22      -9.28533166e-23       2.68389134e-22       1.28664825e-22       1.29695130e-22
460.00      -9.59626253e-23       2.63165375e-22      -9.59626253e-23       2.63165375e-22       1.27731464e-22       1.32927403e-22
470.00      -1.00138796e-22       2.57243248e-22      -1.00138796e-22       2.57243248e-22       1.26721569e-22       1.36779733e-22
480.00      -1.13574217e-22       2.51765309e-22      -1.13574217e-22       2.51765309e-22       1.28365272e-22       1.44282788e-22
490.00      -1.36211968e-22       2.41873685e-22      -1.36211968e-22       2.41873685e-22       1.31809216e-22       1.57057108e-22
500.00      -1.64409947e-22       2.30618577e-22      -1.64409947e-22       2.30618577e-22       1.38565981e-22       1.72740045e-22
510.00      -2.14216196e-22       2.24566105e-22      -2.14216196e-22       2.24566105e-22       1.59002389e-22       1.92264231e-22
520.00      -2.70981816e-22       2.22356459e-22      -2.70981816e-22       2.22356459e-22       1.87543244e-22       2.10726222e-22
530.00      -3.21993181e-22       2.30847104e-22      -3.21993181e-22       2.30847104e-22       2.23692808e-22       2.17048650e-22
540.00      -3.81712850e-22       2.49353179e-22      -3.81712850e-22       2.49353179e-22       2.67934206e-22       2.00619296e-22
550.00      -4.47817967e-22       2.73077673e-22      -4.47817967e-22       2.73077673e-22       2.98270692e-22       1.65356038e-22
560.00      -5.20513052e-22       3.00039881e-22      -5.20513052e-22       3.00039881e-22       3.09744705e-22       1.28009798e-22
570.00      -6.02712064e-22       3.34089196e-22      -6.02712064e-22       3.34089196e-22       3.08081289e-22       9.64596493e-23
580.00      -6.96657152e-22       3.79694885e-22      -6.96657152e-22       3.79694885e-22       2.99767322e-22       7.28326236e-23
590.00      -8.05902925e-22       4.43670700e-22      -8.05902925e-22       4.43670700e-22       2.88988702e-22       5.58826825e-23
600.00      -9.34226604e-22       5.32274808e-22      -9.34226604e-22       5.32274808e-22       2.78235825e-22       4.37998104e-23
610.00      -1.08272306e-21       6.52047724e-22      -1.08272306e-21       6.52047724e-22       2.68653114e-22       3.51884795e-23
620.00      -1.25148564e-21       8.09513624e-22      -1.25148564e-21       8.09513624e-22       2.60615481e-22       2.89197640e-23
630.00      -1.44701136e-21       1.01867638e-21      -1.44701136e-21       1.01867638e-21       2.53885357e-22       2.40540573e-23
640.00      -1.66710431e-21       1.31228249e-21      -1.66710431e-21       1.31228249e-21       2.48055808e-22       2.02628390e-23
650.00      -1.88468122e-21       1.74275533e-21      -1.88468122e-21       1.74275533e-21       2.42888954e-22       1.74047618e-23
660.00      -2.01095030e-21       2.37858318e-21      -2.01095030e-21       2.37858318e-21       2.38208316e-22       1.53845673e-23
670.00      -1.88462329e-21       3.24160512e-21      -1.88462329e-21       3.24160512e-21       2.34020824e-22       1.38758644e-23
680.00      -1.28205453e-21       4.20509726e-21      -1.28205453e-21       4.20509726e-21       2.30311828e-22       1.26165354e-23
690.00      -7.50876855e-23       4.85095449e-21      -7.50876855e-23       4.85095449e-21       2.26983509e-22       1.15550005e-23
700.00       1.34754305e-21       4.71784935e-21       1.34754305e-21       4.71784935e-21       2.23968434e-22       1.06583688e-23
710.00       2.35299502e-21       3.93823653e-21       2.35299502e-21       3.93823653e-21       2.21213576e-22       9.89921199e-24
720.00       2.77617720e-21       3.03229693e-21       2.77617720e-21       3.03229693e-21       2.18698901e-22       9.25383948e-24
730.00       2.83316382e-21       2.28811951e-21       2.83316382e-21       2.28811951e-21       2.16400979e-22       8.69612948e-24
740.00       2.72826826e-21       1.74157516e-21       2.72826826e-21       1.74157516e-21       2.14276296e-22       8.19876708e-24
750.00       2.56977965e-21       1.35152170e-21       2.56977965e-21       1.35152170e-21       2.12306779e-22       7.74965150e-24
760.00       2.40399025e-21       1.07099753e-21       2.40399025e-21       1.07099753e-21       2.10489547e-22       7.33964434e-24
770.00       2.24740994e-21       8.66898385e-22       2.24740994e-21       8.66898385e-22       2.08782451e-22       6.96808487e-24
780.00       2.10618344e-21       7.15345339e-22       2.10618344e-21       7.15345339e-22       2.07194529e-22       6.63472358e-24
790.00       1.98179682e-21       6.00466738e-22       1.98179682e-21       6.00466738e-22       2.05710816e-22       6.32921547e-24
800.00       1.87235245e-21       5.10961340e-22       1.87235245e-21       5.10961340e-22       2.04317429e-22       6.04225062e-24
