% Au_d110nm_h20nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -1.65009925e-22       4.19012265e-22      -1.65009925e-22       4.19012265e-22       1.91207501e-22       1.68296108e-22
410.00      -1.70034621e-22       4.26203288e-22      -1.70034621e-22       4.26203288e-22       1.96103253e-22       1.70807248e-22
420.00      -1.73783569e-22       4.32104791e-22      -1.73783569e-22       4.32104791e-22       2.00212402e-22       1.73137868e-22
430.00      -1.76620592e-22       4.36315728e-22      -1.76620592e-22       4.36315728e-22       2.03547886e-22       1.75533199e-22
440.00      -1.83417272e-22       4.36018268e-22      -1.83417272e-22       4.36018268e-22       2.06825492e-22       1.80028880e-22
450.00      -1.92769865e-22       4.31335144e-22      -1.92769865e-22       4.31335144e-22       2.09754756e-22       1.86369203e-22
460.00      -1.97527169e-22       4.24267359e-22      -1.97527169e-22       4.24267359e-22       2.10641691e-22       1.92284052e-22
470.00      -2.03585060e-22       4.15770558e-22      -2.03585060e-22       4.15770558e-22       2.11493258e-22       1.99042819e-22
480.00      -2.23252349e-22       4.05579935e-22      -2.23252349e-22       4.05579935e-22       2.16779921e-22       2.10171928e-22
490.00      -2.55406747e-22       3.87093145e-22      -2.55406747e-22       3.87093145e-22       2.26057479e-22       2.27978060e-22
500.00      -2.95431382e-22       3.66223407e-22      -2.95431382e-22       3.66223407e-22       2.41151703e-22       2.48503435e-22
510.00      -3.66227495e-22       3.50768491e-22      -3.66227495e-22       3.50768491e-22       2.75821755e-22       2.68070817e-22
520.00      -4.44205433e-22       3.41425095e-22      -4.44205433e-22       3.41425095e-22       3.17273499e-22       2.81317160e-22
530.00      -5.12952178e-22       3.46844689e-22      -5.12952178e-22       3.46844689e-22       3.60941947e-22       2.80111427e-22
540.00      -5.91548100e-22       3.63189356e-22      -5.91548100e-22       3.63189356e-22       4.08507433e-22       2.54414067e-22
550.00      -6.75597007e-22       3.84300241e-22      -6.75597007e-22       3.84300241e-22       4.39486647e-22       2.11957292e-22
560.00      -7.63875452e-22       4.07294840e-22      -7.63875452e-22       4.07294840e-22       4.51336450e-22       1.69414410e-22
570.00      -8.58761262e-22       4.35421459e-22      -8.58761262e-22       4.35421459e-22       4.49979441e-22       1.33364478e-22
580.00      -9.61416088e-22       4.71464736e-22      -9.61416088e-22       4.71464736e-22       4.41597245e-22       1.05597380e-22
590.00      -1.07402094e-21       5.18834363e-22      -1.07402094e-21       5.18834363e-22       4.30265147e-22       8.49107802e-23
600.00      -1.19837880e-21       5.78403765e-22      -1.19837880e-21       5.78403765e-22       4.18618059e-22       6.95656918e-23
610.00      -1.33361163e-21       6.49434826e-22      -1.33361163e-21       6.49434826e-22       4.08033484e-22       5.81857039e-23
620.00      -1.47847496e-21       7.29688517e-22      -1.47847496e-21       7.29688517e-22       3.99066845e-22       4.96078077e-23
630.00      -1.63686401e-21       8.18752236e-22      -1.63686401e-21       8.18752236e-22       3.91478552e-22       4.27405077e-23
640.00      -1.81014871e-21       9.22297439e-22      -1.81014871e-21       9.22297439e-22       3.84865439e-22       3.72213691e-23
650.00      -1.99670942e-21       1.04936669e-21      -1.99670942e-21       1.04936669e-21       3.78926374e-22       3.29274720e-23
660.00      -2.19178344e-21       1.21291178e-21      -2.19178344e-21       1.21291178e-21       3.73479499e-22       2.97440147e-23
670.00      -2.39569270e-21       1.41816397e-21      -2.39569270e-21       1.41816397e-21       3.68552731e-22       2.72589032e-23
680.00      -2.61228907e-21       1.66871398e-21      -2.61228907e-21       1.66871398e-21       3.64173802e-22       2.51381987e-23
690.00      -2.83827437e-21       1.97821756e-21      -2.83827437e-21       1.97821756e-21       3.60230699e-22       2.33083814e-23
700.00      -3.06619639e-21       2.36520010e-21      -3.06619639e-21       2.36520010e-21       3.56632832e-22       2.17258313e-23
710.00      -3.28005431e-21       2.85208890e-21      -3.28005431e-21       2.85208890e-21       3.53326728e-22       2.03497722e-23
720.00      -3.45074535e-21       3.45750461e-21      -3.45074535e-21       3.45750461e-21       3.50309376e-22       1.91538089e-23
730.00      -3.53430840e-21       4.20237465e-21      -3.53430840e-21       4.20237465e-21       3.47531031e-22       1.80958996e-23
740.00      -3.46305456e-21       5.09407514e-21      -3.46305456e-21       5.09407514e-21       3.44972257e-22       1.71441554e-23
750.00      -3.14367955e-21       6.10897030e-21      -3.14367955e-21       6.10897030e-21       3.42585523e-22       1.62736819e-23
760.00      -2.47137960e-21       7.16030865e-21      -2.47137960e-21       7.16030865e-21       3.40359217e-22       1.54624082e-23
770.00      -1.38102439e-21       8.06354261e-21      -1.38102439e-21       8.06354261e-21       3.38276314e-22       1.47263350e-23
780.00       5.28447888e-23       8.58672405e-21       5.28447888e-23       8.58672405e-21       3.36334413e-22       1.40532906e-23
790.00       1.60950223e-21       8.57558286e-21       1.60950223e-21       8.57558286e-21       3.34511348e-22       1.34309641e-23
800.00       3.00396043e-21       8.05586754e-21       3.00396043e-21       8.05586754e-21       3.32798337e-22       1.28488573e-23
