% Au_d90nm_h40nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -1.23507493e-22       5.29937424e-22      -1.23507493e-22       5.29937424e-22       1.57504561e-22       4.16562769e-22
410.00      -1.27163363e-22       5.44358330e-22      -1.27163363e-22       5.44358330e-22       1.64794625e-22       4.26569041e-22
420.00      -1.29675103e-22       5.56928768e-22      -1.29675103e-22       5.56928768e-22       1.71356768e-22       4.34953065e-22
430.00      -1.31586192e-22       5.67239563e-22      -1.31586192e-22       5.67239563e-22       1.76720276e-22       4.41986531e-22
440.00      -1.39412692e-22       5.73755506e-22      -1.39412692e-22       5.73755506e-22       1.77863926e-22       4.51391188e-22
450.00      -1.51871465e-22       5.76033543e-22      -1.51871465e-22       5.76033543e-22       1.74920374e-22       4.62321709e-22
460.00      -1.60132830e-22       5.73575912e-22      -1.60132830e-22       5.73575912e-22       1.70285364e-22       4.69004432e-22
470.00      -1.70635382e-22       5.69558840e-22      -1.70635382e-22       5.69558840e-22       1.63935637e-22       4.76597418e-22
480.00      -1.98488301e-22       5.68469069e-22      -1.98488301e-22       5.68469069e-22       1.54220921e-22       4.96724413e-22
490.00      -2.46134397e-22       5.62059796e-22      -2.46134397e-22       5.62059796e-22       1.35297459e-22       5.29478290e-22
500.00      -3.06795660e-22       5.55597878e-22      -3.06795660e-22       5.55597878e-22       1.13616963e-22       5.72507593e-22
510.00      -4.08895390e-22       5.69854099e-22      -4.08895390e-22       5.69854099e-22       9.59217787e-23       6.50394969e-22
520.00      -5.24459750e-22       5.97144830e-22      -5.24459750e-22       5.97144830e-22       7.42592701e-23       7.47139368e-22
530.00      -6.26878155e-22       6.44311029e-22      -6.26878155e-22       6.44311029e-22       7.31758374e-23       8.66845592e-22
540.00      -7.45314571e-22       7.21157452e-22      -7.45314571e-22       7.21157452e-22       1.36386398e-22       1.04315743e-21
550.00      -8.75689596e-22       8.21835039e-22      -8.75689596e-22       8.21835039e-22       3.08337882e-22       1.22400533e-21
560.00      -1.01699101e-21       9.44995252e-22      -1.01699101e-21       9.44995252e-22       5.80315837e-22       1.32422983e-21
570.00      -1.16923301e-21       1.10414368e-21      -1.16923301e-21       1.10414368e-21       8.81552763e-22       1.27615511e-21
580.00      -1.32752826e-21       1.31427220e-21      -1.32752826e-21       1.31427220e-21       1.10446202e-21       1.10150376e-21
590.00      -1.48182034e-21       1.59726710e-21      -1.48182034e-21       1.59726710e-21       1.21086592e-21       8.86252111e-22
600.00      -1.61466672e-21       1.97291493e-21      -1.61466672e-21       1.97291493e-21       1.23249304e-21       6.95834080e-22
610.00      -1.69324386e-21       2.45195752e-21      -1.69324386e-21       2.45195752e-21       1.21195345e-21       5.50040896e-22
620.00      -1.67531769e-21       3.02928272e-21      -1.67531769e-21       3.02928272e-21       1.17737639e-21       4.43741882e-22
630.00      -1.50881395e-21       3.69808251e-21      -1.50881395e-21       3.69808251e-21       1.14084186e-21       3.64183845e-22
640.00      -1.10544383e-21       4.40840047e-21      -1.10544383e-21       4.40840047e-21       1.10453855e-21       3.03593503e-22
650.00      -3.95913006e-22       5.01677049e-21      -3.95913006e-22       5.01677049e-21       1.06929385e-21       2.57673590e-22
660.00       5.64033833e-22       5.30970204e-21       5.64033833e-22       5.30970204e-21       1.03544262e-21       2.23397531e-22
670.00       1.55423374e-21       5.19991839e-21       1.55423374e-21       5.19991839e-21       1.00450599e-21       1.96971252e-22
680.00       2.37614516e-21       4.78080815e-21       2.37614516e-21       4.78080815e-21       9.77070852e-22       1.75400330e-22
690.00       2.94207255e-21       4.19850126e-21       2.94207255e-21       4.19850126e-21       9.52536692e-22       1.57556396e-22
700.00       3.26440610e-21       3.58634507e-21       3.26440610e-21       3.58634507e-21       9.30364879e-22       1.42607478e-22
710.00       3.40254103e-21       3.02394959e-21       3.40254103e-21       3.02394959e-21       9.10210323e-22       1.29980782e-22
720.00       3.42133493e-21       2.54652979e-21       3.42133493e-21       2.54652979e-21       8.91966172e-22       1.19252125e-22
730.00       3.37188305e-21       2.15393376e-21       3.37188305e-21       2.15393376e-21       8.75376455e-22       1.10029374e-22
740.00       3.28647314e-21       1.83381950e-21       3.28647314e-21       1.83381950e-21       8.60141765e-22       1.01942202e-22
750.00       3.18507205e-21       1.57354918e-21       3.18507205e-21       1.57354918e-21       8.46187300e-22       9.47736494e-23
760.00       3.07826544e-21       1.36031323e-21       3.07826544e-21       1.36031323e-21       8.33267275e-22       8.83371871e-23
770.00       2.97204949e-21       1.18604550e-21       2.97204949e-21       1.18604550e-21       8.21350328e-22       8.26149330e-23
780.00       2.86933862e-21       1.04207240e-21       2.86933862e-21       1.04207240e-21       8.10276706e-22       7.74949463e-23
790.00       2.77254706e-21       9.22287394e-22       2.77254706e-21       9.22287394e-22       8.00002893e-22       7.28731921e-23
800.00       2.68264743e-21       8.21766452e-22       2.68264743e-21       8.21766452e-22       7.90447022e-22       6.86571826e-23
