% Au_d130nm_h70nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -1.20708787e-22       1.12715859e-21      -1.20708787e-22       1.12715859e-21       1.97659216e-22       8.73860434e-22
410.00      -1.43431091e-22       1.16651517e-21      -1.43431091e-22       1.16651517e-21       1.96430519e-22       9.19789733e-22
420.00      -1.65165420e-22       1.20369996e-21      -1.65165420e-22       1.20369996e-21       1.95248859e-22       9.63785041e-22
430.00      -1.86431805e-22       1.23820883e-21      -1.86431805e-22       1.23820883e-21       1.93561569e-22       1.00567298e-21
440.00      -2.16097570e-22       1.26895968e-21      -2.16097570e-22       1.26895968e-21       1.85257229e-22       1.04852820e-21
450.00      -2.52819344e-22       1.29437613e-21      -2.52819344e-22       1.29437613e-21       1.70303029e-22       1.09084606e-21
460.00      -2.84321827e-22       1.31170954e-21      -2.84321827e-22       1.31170954e-21       1.55224127e-22       1.12555497e-21
470.00      -3.19027662e-22       1.32622599e-21      -3.19027662e-22       1.32622599e-21       1.36869576e-22       1.15966870e-21
480.00      -3.79596698e-22       1.34703762e-21      -3.79596698e-22       1.34703762e-21       1.04668666e-22       1.20947077e-21
490.00      -4.72604023e-22       1.36326700e-21      -4.72604023e-22       1.36326700e-21       4.96533704e-23       1.27136049e-21
500.00      -5.87284460e-22       1.38405817e-21      -5.87284460e-22       1.38405817e-21      -1.60958763e-23       1.34572984e-21
510.00      -7.55740550e-22       1.45191384e-21      -7.55740550e-22       1.45191384e-21      -9.60072762e-23       1.46658662e-21
520.00      -9.29747460e-22       1.54305033e-21      -9.29747460e-22       1.54305033e-21      -1.91661026e-22       1.59315514e-21
530.00      -1.07647272e-21       1.64906635e-21      -1.07647272e-21       1.64906635e-21      -2.91981510e-22       1.74250765e-21
540.00      -1.23904195e-21       1.79359526e-21      -1.23904195e-21       1.79359526e-21      -3.96483184e-22       1.98273090e-21
550.00      -1.40975362e-21       1.97276952e-21      -1.40975362e-21       1.97276952e-21      -4.58129959e-22       2.30955995e-21
560.00      -1.57958789e-21       2.18069864e-21      -1.57958789e-21       2.18069864e-21      -4.45047719e-22       2.69482592e-21
570.00      -1.74085041e-21       2.42333236e-21      -1.74085041e-21       2.42333236e-21      -3.23178728e-22       3.11334006e-21
580.00      -1.88570785e-21       2.70254281e-21      -1.88570785e-21       2.70254281e-21      -7.25518693e-23       3.51951817e-21
590.00      -2.00701037e-21       3.02177572e-21      -2.00701037e-21       3.02177572e-21       3.05509779e-22       3.85967284e-21
600.00      -2.10195756e-21       3.37973253e-21      -2.10195756e-21       3.37973253e-21       7.73678248e-22       4.09154159e-21
610.00      -2.16830554e-21       3.76857861e-21      -2.16830554e-21       3.76857861e-21       1.27229232e-21       4.19847132e-21
620.00      -2.20770431e-21       4.17983440e-21      -2.20770431e-21       4.17983440e-21       1.74968945e-21       4.19791258e-21
630.00      -2.22145926e-21       4.61728757e-21      -2.22145926e-21       4.61728757e-21       2.18737163e-21       4.11646021e-21
640.00      -2.19740239e-21       5.08190061e-21      -2.19740239e-21       5.08190061e-21       2.57123778e-21       3.96837395e-21
650.00      -2.11823239e-21       5.56724571e-21      -2.11823239e-21       5.56724571e-21       2.88808585e-21       3.77001499e-21
660.00      -1.96593560e-21       6.05881238e-21      -1.96593560e-21       6.05881238e-21       3.13071320e-21       3.54105328e-21
670.00      -1.74102596e-21       6.54865879e-21      -1.74102596e-21       6.54865879e-21       3.31188190e-21       3.30526641e-21
680.00      -1.44896310e-21       7.03322593e-21      -1.44896310e-21       7.03322593e-21       3.44902102e-21       3.07577444e-21
690.00      -1.08419916e-21       7.50036293e-21      -1.08419916e-21       7.50036293e-21       3.54962131e-21       2.85651001e-21
700.00      -6.44549053e-22       7.93463681e-21      -6.44549053e-22       7.93463681e-21       3.62010848e-21       2.65030176e-21
710.00      -1.32242431e-22       8.31887536e-21      -1.32242431e-22       8.31887536e-21       3.66623783e-21       2.45830562e-21
720.00       4.41457532e-22       8.63582736e-21       4.41457532e-22       8.63582736e-21       3.69337848e-21       2.28192484e-21
730.00       1.06644428e-21       8.87347513e-21       1.06644428e-21       8.87347513e-21       3.70600210e-21       2.12005137e-21
740.00       1.72243153e-21       9.02182257e-21       1.72243153e-21       9.02182257e-21       3.70767187e-21       1.97213651e-21
750.00       2.39491081e-21       9.07605028e-21       2.39491081e-21       9.07605028e-21       3.70102760e-21       1.83651237e-21
760.00       3.06383988e-21       9.03624452e-21       3.06383988e-21       9.03624452e-21       3.68813687e-21       1.71207879e-21
770.00       3.70869583e-21       8.90435122e-21       3.70869583e-21       8.90435122e-21       3.67010986e-21       1.59833930e-21
780.00       4.31045338e-21       8.69217139e-21       4.31045338e-21       8.69217139e-21       3.64845980e-21       1.49461537e-21
790.00       4.85918902e-21       8.41186179e-21       4.85918902e-21       8.41186179e-21       3.62405434e-21       1.39957409e-21
800.00       5.34644633e-21       8.07984676e-21       5.34644633e-21       8.07984676e-21       3.59809831e-21       1.31244742e-21
