% Au_d150nm_h30nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -2.90108181e-22       9.09410182e-22      -2.90108181e-22       9.09410182e-22       3.46054840e-22       3.65141590e-22
410.00      -3.07284972e-22       9.26279157e-22      -3.07284972e-22       9.26279157e-22       3.60697936e-22       3.80977669e-22
420.00      -3.22570253e-22       9.41030593e-22      -3.22570253e-22       9.41030593e-22       3.74114543e-22       3.95945615e-22
430.00      -3.36484418e-22       9.53079589e-22      -3.36484418e-22       9.53079589e-22       3.86156896e-22       4.10395484e-22
440.00      -3.57437090e-22       9.58186749e-22      -3.57437090e-22       9.58186749e-22       3.97318121e-22       4.28346081e-22
450.00      -3.83123245e-22       9.55947255e-22      -3.83123245e-22       9.55947255e-22       4.07011590e-22       4.49469607e-22
460.00      -4.00951981e-22       9.48676836e-22      -4.00951981e-22       9.48676836e-22       4.12752438e-22       4.68929619e-22
470.00      -4.20866530e-22       9.38575827e-22      -4.20866530e-22       9.38575827e-22       4.17773454e-22       4.89881363e-22
480.00      -4.65329432e-22       9.26337526e-22      -4.65329432e-22       9.26337526e-22       4.29546010e-22       5.21166564e-22
490.00      -5.34320336e-22       9.00192881e-22      -5.34320336e-22       9.00192881e-22       4.46390692e-22       5.67452132e-22
500.00      -6.19742674e-22       8.70896436e-22      -6.19742674e-22       8.70896436e-22       4.73601194e-22       6.21515929e-22
510.00      -7.62481783e-22       8.59380544e-22      -7.62481783e-22       8.59380544e-22       5.37789819e-22       6.80144951e-22
520.00      -9.17633661e-22       8.64383600e-22      -9.17633661e-22       8.64383600e-22       6.07565886e-22       7.30803639e-22
530.00      -1.05107355e-21       8.96326796e-22      -1.05107355e-21       8.96326796e-22       6.84925287e-22       7.73921323e-22
540.00      -1.19610838e-21       9.53399394e-22      -1.19610838e-21       9.53399394e-22       8.06573449e-22       7.93471084e-22
550.00      -1.34532300e-21       1.02208641e-21      -1.34532300e-21       1.02208641e-21       9.39287780e-22       7.57208148e-22
560.00      -1.49720225e-21       1.09610187e-21      -1.49720225e-21       1.09610187e-21       1.04088155e-21       6.78864032e-22
570.00      -1.65377430e-21       1.18121531e-21      -1.65377430e-21       1.18121531e-21       1.09957783e-21       5.84798328e-22
580.00      -1.81479824e-21       1.28119981e-21      -1.81479824e-21       1.28119981e-21       1.12287163e-21       4.96465094e-22
590.00      -1.98099064e-21       1.40058141e-21      -1.98099064e-21       1.40058141e-21       1.12376071e-21       4.21946325e-22
600.00      -2.15351786e-21       1.53931017e-21      -2.15351786e-21       1.53931017e-21       1.11383646e-21       3.62027144e-22
610.00      -2.33071911e-21       1.69380409e-21      -2.33071911e-21       1.69380409e-21       1.10027670e-21       3.15115480e-22
620.00      -2.51155101e-21       1.85857227e-21      -2.51155101e-21       1.85857227e-21       1.08708152e-21       2.78428898e-22
630.00      -2.70055752e-21       2.03342882e-21      -2.70055752e-21       2.03342882e-21       1.07529289e-21       2.48438243e-22
640.00      -2.89620968e-21       2.22408559e-21      -2.89620968e-21       2.22408559e-21       1.06425448e-21       2.23631991e-22
650.00      -3.09261135e-21       2.43682895e-21      -3.09261135e-21       2.43682895e-21       1.05354324e-21       2.03342097e-22
660.00      -3.28099655e-21       2.67889170e-21      -3.28099655e-21       2.67889170e-21       1.04293355e-21       1.87129286e-22
670.00      -3.46295101e-21       2.95033098e-21      -3.46295101e-21       2.95033098e-21       1.03294803e-21       1.73710203e-22
680.00      -3.64437530e-21       3.25015503e-21      -3.64437530e-21       3.25015503e-21       1.02398022e-21       1.61981706e-22
690.00      -3.82268143e-21       3.58318748e-21      -3.82268143e-21       3.58318748e-21       1.01578344e-21       1.51647436e-22
700.00      -3.99395549e-21       3.95481653e-21      -3.99395549e-21       3.95481653e-21       1.00822704e-21       1.42457561e-22
710.00      -4.15269635e-21       4.37028792e-21      -4.15269635e-21       4.37028792e-21       1.00118504e-21       1.34265808e-22
720.00      -4.29211275e-21       4.83170257e-21      -4.29211275e-21       4.83170257e-21       9.94667464e-22       1.26941356e-22
730.00      -4.40516644e-21       5.34293300e-21      -4.40516644e-21       5.34293300e-21       9.88636125e-22       1.20334463e-22
740.00      -4.48309987e-21       5.90874140e-21      -4.48309987e-21       5.90874140e-21       9.83009001e-22       1.14286897e-22
750.00      -4.51476223e-21       6.53244155e-21      -4.51476223e-21       6.53244155e-21       9.77739474e-22       1.08699977e-22
760.00      -4.48614382e-21       7.21689390e-21      -4.48614382e-21       7.21689390e-21       9.72777700e-22       1.03505614e-22
770.00      -4.37508244e-21       7.95689887e-21      -4.37508244e-21       7.95689887e-21       9.68100338e-22       9.87122250e-23
780.00      -4.16185032e-21       8.74350091e-21      -4.16185032e-21       8.74350091e-21       9.63667582e-22       9.42756166e-23
790.00      -3.82689158e-21       9.56204297e-21      -3.82689158e-21       9.56204297e-21       9.59506746e-22       9.01488329e-23
800.00      -3.35178504e-21       1.03908546e-20      -3.35178504e-21       1.03908546e-20       9.55572466e-22       8.62743127e-23
