% Au_d120nm_h70nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -1.20516632e-22       1.01557078e-21      -1.20516632e-22       1.01557078e-21       1.31810644e-22       8.42626103e-22
410.00      -1.38906246e-22       1.05215171e-21      -1.38906246e-22       1.05215171e-21       1.29750668e-22       8.83338635e-22
420.00      -1.56210302e-22       1.08665562e-21      -1.56210302e-22       1.08665562e-21       1.28026247e-22       9.22033972e-22
430.00      -1.72951986e-22       1.11857679e-21      -1.72951986e-22       1.11857679e-21       1.26057852e-22       9.58472015e-22
440.00      -1.97608752e-22       1.14684004e-21      -1.97608752e-22       1.14684004e-21       1.17296438e-22       9.94960897e-22
450.00      -2.28973819e-22       1.17008682e-21      -2.28973819e-22       1.17008682e-21       1.01978926e-22       1.03014552e-21
460.00      -2.55389342e-22       1.18563970e-21      -2.55389342e-22       1.18563970e-21       8.74631883e-23       1.05778499e-21
470.00      -2.84941075e-22       1.19855632e-21      -2.84941075e-22       1.19855632e-21       6.97355875e-23       1.08454704e-21
480.00      -3.39050914e-22       1.21767386e-21      -3.39050914e-22       1.21767386e-21       3.65566915e-23       1.12519661e-21
490.00      -4.24129002e-22       1.23294813e-21      -4.24129002e-22       1.23294813e-21      -2.03752924e-23       1.17489545e-21
500.00      -5.29846556e-22       1.25297366e-21      -5.29846556e-22       1.25297366e-21      -8.96018500e-23       1.23506482e-21
510.00      -6.86276574e-22       1.31864883e-21      -6.86276574e-22       1.31864883e-21      -1.81176742e-22       1.33951697e-21
520.00      -8.47212808e-22       1.40600691e-21      -8.47212808e-22       1.40600691e-21      -2.90641485e-22       1.45315822e-21
530.00      -9.83300800e-22       1.50589285e-21      -9.83300800e-22       1.50589285e-21      -4.00735557e-22       1.59218641e-21
540.00      -1.13852927e-21       1.64296370e-21      -1.13852927e-21       1.64296370e-21      -5.18123870e-22       1.81692910e-21
550.00      -1.30534188e-21       1.81727092e-21      -1.30534188e-21       1.81727092e-21      -6.03803968e-22       2.12420077e-21
560.00      -1.47298415e-21       2.02510327e-21      -1.47298415e-21       2.02510327e-21      -6.29508555e-22       2.49458864e-21
570.00      -1.63221035e-21       2.27351137e-21      -1.63221035e-21       2.27351137e-21      -5.59237906e-22       2.91518166e-21
580.00      -1.77299693e-21       2.56552630e-21      -1.77299693e-21       2.56552630e-21      -3.61485305e-22       3.35007135e-21
590.00      -1.88526186e-21       2.90522400e-21      -1.88526186e-21       2.90522400e-21      -1.99921625e-23       3.74615805e-21
600.00      -1.96264981e-21       3.29221750e-21      -1.96264981e-21       3.29221750e-21       4.43225565e-22       4.04835112e-21
610.00      -1.99955943e-21       3.71694778e-21      -1.99955943e-21       3.71694778e-21       9.69479807e-22       4.21816698e-21
620.00      -1.99493037e-21       4.16890468e-21      -1.99493037e-21       4.16890468e-21       1.49494832e-21       4.25809167e-21
630.00      -1.94718909e-21       4.65033539e-21      -1.94718909e-21       4.65033539e-21       1.98731083e-21       4.19292904e-21
640.00      -1.83910465e-21       5.15808848e-21      -1.83910465e-21       5.15808848e-21       2.42261374e-21       4.03841554e-21
650.00      -1.64920719e-21       5.67723681e-21      -1.64920719e-21       5.67723681e-21       2.77938608e-21       3.81661169e-21
660.00      -1.35890177e-21       6.18030438e-21      -1.35890177e-21       6.18030438e-21       3.04675933e-21       3.55471724e-21
670.00      -9.73168153e-22       6.64891188e-21      -9.73168153e-22       6.64891188e-21       3.23906755e-21       3.28403702e-21
680.00      -5.04189965e-22       7.07280332e-21      -5.04189965e-22       7.07280332e-21       3.37706847e-21       3.02253894e-21
690.00       4.37431037e-23       7.43119915e-21       4.37431037e-23       7.43119915e-21       3.47142982e-21       2.77601973e-21
700.00       6.56226457e-22       7.70188439e-21       6.56226457e-22       7.70188439e-21       3.53091840e-21       2.54723657e-21
710.00       1.31343069e-21       7.86836812e-21       1.31343069e-21       7.86836812e-21       3.56325958e-21       2.33778023e-21
720.00       1.98568054e-21       7.92266248e-21       1.98568054e-21       7.92266248e-21       3.57529778e-21       2.14835266e-21
730.00       2.64639445e-21       7.86726064e-21       2.64639445e-21       7.86726064e-21       3.57263915e-21       1.97764903e-21
740.00       3.27310790e-21       7.71147655e-21       3.27310790e-21       7.71147655e-21       3.55935677e-21       1.82367786e-21
750.00       3.84787139e-21       7.47020686e-21       3.84787139e-21       7.47020686e-21       3.53855462e-21       1.68455665e-21
760.00       4.35785691e-21       7.16125155e-21       4.35785691e-21       7.16125155e-21       3.51232574e-21       1.55848575e-21
770.00       4.79320117e-21       6.80368419e-21       4.79320117e-21       6.80368419e-21       3.48220706e-21       1.44500490e-21
780.00       5.15270232e-21       6.41696061e-21       5.15270232e-21       6.41696061e-21       3.44939716e-21       1.34246476e-21
790.00       5.44043237e-21       6.01788116e-21       5.44043237e-21       6.01788116e-21       3.41506597e-21       1.24967767e-21
800.00       5.66369811e-21       5.61871870e-21       5.66369811e-21       5.61871870e-21       3.38005347e-21       1.16552018e-21
