% Au_d110nm_h70nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -1.12064256e-22       9.11433175e-22      -1.12064256e-22       9.11433175e-22       7.14730979e-23       7.97533052e-22
410.00      -1.26007705e-22       9.45040179e-22      -1.26007705e-22       9.45040179e-22       6.89815971e-23       8.33098336e-22
420.00      -1.38821108e-22       9.76622515e-22      -1.38821108e-22       9.76622515e-22       6.70811324e-23       8.66600063e-22
430.00      -1.51043297e-22       1.00570995e-21      -1.51043297e-22       1.00570995e-21       6.51811400e-23       8.97769325e-22
440.00      -1.70792426e-22       1.03131251e-21      -1.70792426e-22       1.03131251e-21       5.64355240e-23       9.28072288e-22
450.00      -1.96960145e-22       1.05220550e-21      -1.96960145e-22       1.05220550e-21       4.13102682e-23       9.56296201e-22
460.00      -2.18609452e-22       1.06577425e-21      -2.18609452e-22       1.06577425e-21       2.78256306e-23       9.77272728e-22
470.00      -2.43374853e-22       1.07694982e-21      -2.43374853e-22       1.07694982e-21       1.12275052e-23       9.97136285e-22
480.00      -2.91366191e-22       1.09466638e-21      -2.91366191e-22       1.09466638e-21      -2.19946158e-23       1.02891797e-21
490.00      -3.68846987e-22       1.10966024e-21      -3.68846987e-22       1.10966024e-21      -7.92735452e-23       1.06672269e-21
500.00      -4.65843464e-22       1.12988210e-21      -4.65843464e-22       1.12988210e-21      -1.49900205e-22       1.11279648e-21
510.00      -6.09908173e-22       1.19511283e-21      -6.09908173e-22       1.19511283e-21      -2.49787631e-22       1.19967054e-21
520.00      -7.57079631e-22       1.28065559e-21      -7.57079631e-22       1.28065559e-21      -3.69379297e-22       1.29801194e-21
530.00      -8.81495187e-22       1.37595686e-21      -8.81495187e-22       1.37595686e-21      -4.86449118e-22       1.42358097e-21
540.00      -1.02800261e-21       1.50734703e-21      -1.02800261e-21       1.50734703e-21      -6.14397777e-22       1.62788398e-21
550.00      -1.18953610e-21       1.67923523e-21      -1.18953610e-21       1.67923523e-21      -7.22231569e-22       1.90870003e-21
560.00      -1.35345811e-21       1.89059604e-21      -1.35345811e-21       1.89059604e-21      -7.86175974e-22       2.25452811e-21
570.00      -1.50806875e-21       2.15020845e-21      -1.50806875e-21       2.15020845e-21      -7.71841972e-22       2.66419740e-21
580.00      -1.63997702e-21       2.46259611e-21      -1.63997702e-21       2.46259611e-21      -6.39824920e-22       3.11498523e-21
590.00      -1.73413785e-21       2.83333420e-21      -1.73413785e-21       2.83333420e-21      -3.56027576e-22       3.56289627e-21
600.00      -1.77806217e-21       3.26108203e-21      -1.77806217e-21       3.26108203e-21       7.93468471e-23       3.94389457e-21
610.00      -1.75998598e-21       3.73335703e-21      -1.75998598e-21       3.73335703e-21       6.19561077e-22       4.19630931e-21
620.00      -1.67450385e-21       4.23370179e-21      -1.67450385e-21       4.23370179e-21       1.19165995e-21       4.29868846e-21
630.00      -1.51514744e-21       4.75866637e-21      -1.51514744e-21       4.75866637e-21       1.74738334e-21       4.26620853e-21
640.00      -1.25922533e-21       5.29304448e-21      -1.25922533e-21       5.29304448e-21       2.24682801e-21       4.11349954e-21
650.00      -8.86431457e-22       5.80254191e-21      -8.86431457e-22       5.80254191e-21       2.65546604e-21       3.86879119e-21
660.00      -3.90534148e-22       6.23585954e-21      -3.90534148e-22       6.23585954e-21       2.95515980e-21       3.56973237e-21
670.00       2.01763316e-22       6.56388858e-21       2.01763316e-22       6.56388858e-21       3.16165672e-21       3.25890862e-21
680.00       8.54277447e-22       6.77713069e-21       8.54277447e-22       6.77713069e-21       3.30087441e-21       2.96137739e-21
690.00       1.53457374e-21       6.86035645e-21       1.53457374e-21       6.86035645e-21       3.38741179e-21       2.68502549e-21
700.00       2.20765126e-21       6.81046264e-21       2.20765126e-21       6.81046264e-21       3.43370741e-21       2.43248890e-21
710.00       2.83728167e-21       6.63864258e-21       2.83728167e-21       6.63864258e-21       3.45006821e-21       2.20553139e-21
720.00       3.39471163e-21       6.36920779e-21       3.39471163e-21       6.36920779e-21       3.44509992e-21       2.00382061e-21
730.00       3.86619879e-21       6.03133465e-21       3.86619879e-21       6.03133465e-21       3.42574589e-21       1.82536365e-21
740.00       4.24888082e-21       5.65261583e-21       4.24888082e-21       5.65261583e-21       3.39670507e-21       1.66721082e-21
750.00       4.54787862e-21       5.25475656e-21       4.54787862e-21       5.25475656e-21       3.36124185e-21       1.52640481e-21
760.00       4.77169301e-21       4.85564986e-21       4.77169301e-21       4.85564986e-21       3.32182058e-21       1.40078329e-21
770.00       4.92874685e-21       4.46925210e-21       4.92874685e-21       4.46925210e-21       3.27984282e-21       1.28914512e-21
780.00       5.03055565e-21       4.10347343e-21       5.03055565e-21       4.10347343e-21       3.23652788e-21       1.18966556e-21
790.00       5.08863577e-21       3.76343715e-21       5.08863577e-21       3.76343715e-21       3.19306206e-21       1.10067371e-21
800.00       5.11285641e-21       3.45020349e-21       5.11285641e-21       3.45020349e-21       3.14996019e-21       1.02069937e-21
