% Au_d160nm_h30nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -3.10256489e-22       1.01289068e-21      -3.10256489e-22       1.01289068e-21       3.64754464e-22       3.60566665e-22
410.00      -3.29860961e-22       1.03047747e-21      -3.29860961e-22       1.03047747e-21       3.81305658e-22       3.78776315e-22
420.00      -3.47511824e-22       1.04579056e-21      -3.47511824e-22       1.04579056e-21       3.96604859e-22       3.96154266e-22
430.00      -3.63775760e-22       1.05818874e-21      -3.63775760e-22       1.05818874e-21       4.10527768e-22       4.13056587e-22
440.00      -3.87732444e-22       1.06325840e-21      -3.87732444e-22       1.06325840e-21       4.23816581e-22       4.33429314e-22
450.00      -4.16857461e-22       1.06051996e-21      -4.16857461e-22       1.06051996e-21       4.35836688e-22       4.57045137e-22
460.00      -4.37554442e-22       1.05232846e-21      -4.37554442e-22       1.05232846e-21       4.43721259e-22       4.79237387e-22
470.00      -4.60482752e-22       1.04114148e-21      -4.60482752e-22       1.04114148e-21       4.50913203e-22       5.02958811e-22
480.00      -5.09752961e-22       1.02793045e-21      -5.09752961e-22       1.02793045e-21       4.65600580e-22       5.36740389e-22
490.00      -5.85469395e-22       1.00010520e-21      -5.85469395e-22       1.00010520e-21       4.86552829e-22       5.85579113e-22
500.00      -6.78782933e-22       9.69269315e-22      -6.78782933e-22       9.69269315e-22       5.18983062e-22       6.41782932e-22
510.00      -8.32753733e-22       9.58934149e-22      -8.32753733e-22       9.58934149e-22       5.90529692e-22       6.98999175e-22
520.00      -9.98200188e-22       9.66737313e-22      -9.98200188e-22       9.66737313e-22       6.66490468e-22       7.44844007e-22
530.00      -1.13922639e-21       1.00159452e-21      -1.13922639e-21       1.00159452e-21       7.45649585e-22       7.82501876e-22
540.00      -1.29209742e-21       1.06214381e-21      -1.29209742e-21       1.06214381e-21       8.64376708e-22       7.96820201e-22
550.00      -1.44926963e-21       1.13481792e-21      -1.44926963e-21       1.13481792e-21       9.91466194e-22       7.59316298e-22
560.00      -1.60862016e-21       1.21319099e-21      -1.60862016e-21       1.21319099e-21       1.08878946e-21       6.84041403e-22
570.00      -1.77169813e-21       1.30291363e-21      -1.77169813e-21       1.30291363e-21       1.14634146e-21       5.95025352e-22
580.00      -1.93797336e-21       1.40754575e-21      -1.93797336e-21       1.40754575e-21       1.17118676e-21       5.11361966e-22
590.00      -2.10800847e-21       1.53104686e-21      -2.10800847e-21       1.53104686e-21       1.17508184e-21       4.40209185e-22
600.00      -2.28305178e-21       1.67293767e-21      -2.28305178e-21       1.67293767e-21       1.16854973e-21       3.82350288e-22
610.00      -2.46154058e-21       1.82889379e-21      -2.46154058e-21       1.82889379e-21       1.15833498e-21       3.36535067e-22
620.00      -2.64261056e-21       1.99304608e-21      -2.64261056e-21       1.99304608e-21       1.14819684e-21       3.00311066e-22
630.00      -2.83089689e-21       2.16510206e-21      -2.83089689e-21       2.16510206e-21       1.13915144e-21       2.70392135e-22
640.00      -3.02477510e-21       2.34996185e-21      -3.02477510e-21       2.34996185e-21       1.13058628e-21       2.45389778e-22
650.00      -3.21868353e-21       2.55335327e-21      -3.21868353e-21       2.55335327e-21       1.12212138e-21       2.24759369e-22
660.00      -3.40475559e-21       2.78163285e-21      -3.40475559e-21       2.78163285e-21       1.11346971e-21       2.08094091e-22
670.00      -3.58525377e-21       3.03415735e-21      -3.58525377e-21       3.03415735e-21       1.10525204e-21       1.94173674e-22
680.00      -3.76657172e-21       3.30929399e-21      -3.76657172e-21       3.30929399e-21       1.09785359e-21       1.81939079e-22
690.00      -3.94699610e-21       3.61069867e-21      -3.94699610e-21       3.61069867e-21       1.09113049e-21       1.71057804e-22
700.00      -4.12425293e-21       3.94283024e-21      -4.12425293e-21       3.94283024e-21       1.08488374e-21       1.61328489e-22
710.00      -4.29486987e-21       4.30968951e-21      -4.29486987e-21       4.30968951e-21       1.07904069e-21       1.52589350e-22
720.00      -4.45480129e-21       4.71283681e-21      -4.45480129e-21       4.71283681e-21       1.07362180e-21       1.44736193e-22
730.00      -4.60020276e-21       5.15600047e-21      -4.60020276e-21       5.15600047e-21       1.06858928e-21       1.37586040e-22
740.00      -4.72667723e-21       5.64259424e-21      -4.72667723e-21       5.64259424e-21       1.06390279e-21       1.31029680e-22
750.00      -4.82818782e-21       6.17806857e-21      -4.82818782e-21       6.17806857e-21       1.05947998e-21       1.24938481e-22
760.00      -4.89689160e-21       6.76614071e-21      -4.89689160e-21       6.76614071e-21       1.05530595e-21       1.19243971e-22
770.00      -4.91929549e-21       7.40730734e-21      -4.91929549e-21       7.40730734e-21       1.05135061e-21       1.13967124e-22
780.00      -4.88261284e-21       8.10112249e-21      -4.88261284e-21       8.10112249e-21       1.04761597e-21       1.09066122e-22
790.00      -4.77343516e-21       8.84479481e-21      -4.77343516e-21       8.84479481e-21       1.04408940e-21       1.04486139e-22
800.00      -4.57571706e-21       9.63396726e-21      -4.57571706e-21       9.63396726e-21       1.04073297e-21       1.00168862e-22
