% Al_l110nm_w100nm_h50nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -2.01736020e-22       7.64994337e-22      -1.81660918e-22       8.09241301e-22       2.87568351e-22       3.88940237e-22
310.00      -2.47369249e-22       8.43931461e-22      -2.35658817e-22       9.03061487e-22       3.38104080e-22       4.51125468e-22
320.00      -2.82442680e-22       9.22439853e-22      -2.64910265e-22       9.99604096e-22       3.87240298e-22       4.99145649e-22
330.00      -3.12968869e-22       9.99910382e-22      -2.83574989e-22       1.09109484e-21       4.34866162e-22       5.39354510e-22
340.00      -3.41673841e-22       1.07790079e-21      -2.98601711e-22       1.18011397e-21       4.81831475e-22       5.74242570e-22
350.00      -3.69291601e-22       1.15766611e-21      -3.11715475e-22       1.26936946e-21       5.29111991e-22       6.04990169e-22
360.00      -3.95923867e-22       1.24025327e-21      -3.23028783e-22       1.36070323e-21       5.76575575e-22       6.31509783e-22
370.00      -4.21411131e-22       1.32649869e-21      -3.32088824e-22       1.45531917e-21       6.24370530e-22       6.53927004e-22
380.00      -4.45649044e-22       1.41697876e-21      -3.38538775e-22       1.55397167e-21       6.72428563e-22       6.72345792e-22
390.00      -4.68189257e-22       1.51224862e-21      -3.41548925e-22       1.65722818e-21       7.20415998e-22       6.86705044e-22
400.00      -4.88583700e-22       1.61282634e-21      -3.40389668e-22       1.76547080e-21       7.68066149e-22       6.96989028e-22
410.00      -5.06310487e-22       1.71908710e-21      -3.34167356e-22       1.87889179e-21       8.14952983e-22       7.03378910e-22
420.00      -5.20618508e-22       1.83151234e-21      -3.21856089e-22       1.99761806e-21       8.60933740e-22       7.05901498e-22
430.00      -5.30636779e-22       1.95037920e-21      -3.02296116e-22       2.12150770e-21       9.05353109e-22       7.04792244e-22
440.00      -5.35672950e-22       2.07552719e-21      -2.74556491e-22       2.25000547e-21       9.47913786e-22       7.00454817e-22
450.00      -5.34713117e-22       2.20685753e-21      -2.37642533e-22       2.38224792e-21       9.88276009e-22       6.93337686e-22
460.00      -5.26566120e-22       2.34429323e-21      -1.90244340e-22       2.51756582e-21       1.02618773e-21       6.83694517e-22
470.00      -5.10433658e-22       2.48813856e-21      -1.31445869e-22       2.65557280e-21       1.06182096e-21       6.71829157e-22
480.00      -4.85345587e-22       2.63836840e-21      -6.03958199e-23       2.79541917e-21       1.09510000e-21       6.58132580e-22
490.00      -4.49992759e-22       2.79460546e-21       2.39901121e-23       2.93582612e-21       1.12603170e-21       6.42864421e-22
500.00      -4.02792354e-22       2.95613877e-21       1.22689804e-22       3.07490176e-21       1.15450588e-21       6.26327103e-22
510.00      -3.42085227e-22       3.12206599e-21       2.36540876e-22       3.21079174e-21       1.18057773e-21       6.08904574e-22
520.00      -2.65660015e-22       3.29058450e-21       3.66398111e-22       3.34027961e-21       1.20406445e-21       5.90659038e-22
530.00      -1.72625239e-22       3.46033621e-21       5.12093766e-22       3.46149948e-21       1.22520434e-21       5.71942699e-22
540.00      -6.14846103e-23       3.62918629e-21       6.72607954e-22       3.57164783e-21       1.24414405e-21       5.52974877e-22
550.00       6.82357044e-23       3.79433734e-21       8.46655093e-22       3.66801050e-21       1.26100715e-21       5.34008820e-22
560.00       2.16501046e-22       3.95298762e-21       1.03213215e-21       3.74825727e-21       1.27594878e-21       5.15245905e-22
570.00       3.83655772e-22       4.10188122e-21       1.22676980e-21       3.81013153e-21       1.28905192e-21       4.96784666e-22
580.00       5.68915354e-22       4.23821442e-21       1.42774219e-21       3.85249383e-21       1.30055399e-21       4.78758797e-22
590.00       7.71051953e-22       4.35883159e-21       1.63224427e-21       3.87420509e-21       1.31053589e-21       4.61168910e-22
600.00       9.87737239e-22       4.46067514e-21       1.83680858e-21       3.87497148e-21       1.31915006e-21       4.44071930e-22
610.00       1.21606680e-21       4.54121555e-21       2.03799113e-21       3.85539410e-21       1.32654347e-21       4.27632878e-22
620.00       1.45261185e-21       4.59856892e-21       2.23282596e-21       3.81639091e-21       1.33283586e-21       4.11828065e-22
630.00       1.69388185e-21       4.63063801e-21       2.41845962e-21       3.75898166e-21       1.33809897e-21       3.96702621e-22
640.00       1.93563572e-21       4.63698701e-21       2.59250233e-21       3.68544055e-21       1.34243004e-21       3.82273095e-22
650.00       2.17310662e-21       4.61931292e-21       2.75300230e-21       3.59933521e-21       1.34602682e-21       3.68562291e-22
660.00       2.40264249e-21       4.57991859e-21       2.89934404e-21       3.50387016e-21       1.34907224e-21       3.55576328e-22
670.00       2.62203331e-21       4.51994845e-21       3.03139815e-21       3.40028220e-21       1.35152963e-21       3.43208621e-22
680.00       2.82862042e-21       4.44135594e-21       3.14883337e-21       3.29094160e-21       1.35346941e-21       3.31493678e-22
690.00       3.01978333e-21       4.34683232e-21       3.25142307e-21       3.17797644e-21       1.35495885e-21       3.20458196e-22
700.00       3.19644901e-21       4.23782292e-21       3.34113453e-21       3.06210176e-21       1.35591055e-21       3.09861847e-22
710.00       3.35686273e-21       4.11741080e-21       3.41801728e-21       2.94486899e-21       1.35646486e-21       2.99763288e-22
720.00       3.49734111e-21       3.99150107e-21       3.48145878e-21       2.83088646e-21       1.35680606e-21       2.90431551e-22
730.00       3.61621230e-21       3.86461174e-21       3.53155974e-21       2.72269995e-21       1.35699004e-21       2.82091937e-22
740.00       3.71563510e-21       3.73497226e-21       3.56949282e-21       2.61810669e-21       1.35680392e-21       2.74494780e-22
750.00       3.79919081e-21       3.60337805e-21       3.59786061e-21       2.51634008e-21       1.35621283e-21       2.67366800e-22
760.00       3.86895875e-21       3.47420980e-21       3.61886315e-21       2.41948351e-21       1.35549254e-21       2.60727974e-22
770.00       3.92721447e-21       3.35165936e-21       3.63472289e-21       2.32953630e-21       1.35493177e-21       2.54574664e-22
780.00       3.97223065e-21       3.23999811e-21       3.64487067e-21       2.24961664e-21       1.35467408e-21       2.49300569e-22
790.00       3.99917173e-21       3.14668362e-21       3.64680221e-21       2.18508297e-21       1.35485898e-21       2.45651074e-22
800.00       4.04089015e-21       3.07093126e-21       3.66261747e-21       2.13010496e-21       1.35691757e-21       2.41469321e-22
