% Al_l100nm_w60nm_h40nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -3.09064124e-22       4.29654528e-22      -1.78860146e-22       7.71682509e-22       2.09168118e-22       3.63310003e-22
310.00      -3.41290643e-22       4.68662932e-22      -1.47624374e-22       8.54412578e-22       2.53751288e-22       3.85883482e-22
320.00      -3.73586512e-22       5.10168346e-22      -1.08964372e-22       9.32419142e-22       2.97275617e-22       3.99966273e-22
330.00      -4.06378361e-22       5.54482574e-22      -6.26288878e-23       1.00787047e-21       3.39012905e-22       4.07350964e-22
340.00      -4.39960504e-22       6.02088767e-22      -7.51575298e-24       1.08108943e-21       3.78847519e-22       4.09230968e-22
350.00      -4.74241572e-22       6.53548624e-22       5.76841716e-23       1.15060789e-21       4.16142254e-22       4.06277410e-22
360.00      -5.09002419e-22       7.09516468e-22       1.33708496e-22       1.21418872e-21       4.50505244e-22       3.99229798e-22
370.00      -5.44033161e-22       7.70632559e-22       2.20247292e-22       1.26923982e-21       4.81540584e-22       3.88844533e-22
380.00      -5.79006821e-22       8.37527845e-22       3.16118378e-22       1.31310877e-21       5.09188656e-22       3.75917745e-22
390.00      -6.13577719e-22       9.10786407e-22       4.18900607e-22       1.34365847e-21       5.33433227e-22       3.61185921e-22
400.00      -6.47237576e-22       9.91179306e-22       5.26000016e-22       1.35917932e-21       5.54437630e-22       3.45318142e-22
410.00      -6.79125722e-22       1.07942098e-21       6.33724446e-22       1.35888646e-21       5.72311326e-22       3.28827417e-22
420.00      -7.08352586e-22       1.17634591e-21       7.38817927e-22       1.34300997e-21       5.87354579e-22       3.12116245e-22
430.00      -7.33634684e-22       1.28269336e-21       8.37951572e-22       1.31281671e-21       5.99850110e-22       2.95526956e-22
440.00      -7.53515190e-22       1.39868260e-21       9.28168184e-22       1.27069784e-21       6.10052440e-22       2.79450745e-22
450.00      -7.66011564e-22       1.52452026e-21       1.00762538e-21       1.21925878e-21       6.18313522e-22       2.64084447e-22
460.00      -7.68956334e-22       1.66050397e-21       1.07555963e-21       1.16126523e-21       6.24865631e-22       2.49502499e-22
470.00      -7.60509080e-22       1.80645628e-21       1.13241421e-21       1.09970446e-21       6.30043085e-22       2.35701952e-22
480.00      -7.38431503e-22       1.96226777e-21       1.17897840e-21       1.03660724e-21       6.34125714e-22       2.22692769e-22
490.00      -6.99931391e-22       2.12683518e-21       1.21617422e-21       9.73593250e-22       6.37284911e-22       2.10449397e-22
500.00      -6.41696431e-22       2.29827934e-21       1.24485782e-21       9.11939093e-22       6.39640640e-22       1.98955878e-22
510.00      -5.60130680e-22       2.47384892e-21       1.26597678e-21       8.52475292e-22       6.41266667e-22       1.88201490e-22
520.00      -4.52153187e-22       2.64931909e-21       1.28053682e-21       7.95834374e-22       6.42237279e-22       1.78162805e-22
530.00      -3.15797617e-22       2.81978315e-21       1.28967228e-21       7.42386925e-22       6.42700451e-22       1.68787909e-22
540.00      -1.50363711e-22       2.97891471e-21       1.29430307e-21       6.92361875e-22       6.42725587e-22       1.60035205e-22
550.00       4.27236378e-23       3.11960062e-21       1.29534869e-21       6.46079745e-22       6.42449202e-22       1.51921850e-22
560.00       2.60298022e-22       3.23490756e-21       1.29344086e-21       6.03328656e-22       6.41864589e-22       1.44388640e-22
570.00       4.96365225e-22       3.31886548e-21       1.28925304e-21       5.64082235e-22       6.41061277e-22       1.37394885e-22
580.00       7.45076258e-22       3.36744728e-21       1.28331121e-21       5.28019174e-22       6.40087784e-22       1.30903609e-22
590.00       9.97563126e-22       3.37849185e-21       1.27600993e-21       4.94923708e-22       6.38959961e-22       1.24873742e-22
600.00       1.24539114e-21       3.35248875e-21       1.26772343e-21       4.64635284e-22       6.37711174e-22       1.19268161e-22
610.00       1.48069466e-21       3.29247119e-21       1.25877513e-21       4.36939172e-22       6.36391464e-22       1.14065318e-22
620.00       1.69688315e-21       3.20304758e-21       1.24933244e-21       4.11640445e-22       6.35023373e-22       1.09238094e-22
630.00       1.88959178e-21       3.08951859e-21       1.23946450e-21       3.88518324e-22       6.33602986e-22       1.04788788e-22
640.00       2.05606663e-21       2.95849547e-21       1.22932454e-21       3.67396952e-22       6.32101229e-22       1.00655490e-22
650.00       2.19564091e-21       2.81780099e-21       1.21931172e-21       3.48238234e-22       6.30611020e-22       9.68540841e-23
660.00       2.30988365e-21       2.67339597e-21       1.20948911e-21       3.30755362e-22       6.29202494e-22       9.33388820e-23
670.00       2.40130822e-21       2.52844418e-21       1.19982205e-21       3.14741327e-22       6.27778765e-22       9.00638017e-23
680.00       2.47193180e-21       2.38648030e-21       1.19031997e-21       3.00091915e-22       6.26401887e-22       8.70313746e-23
690.00       2.52406550e-21       2.24968383e-21       1.18101502e-21       2.86746849e-22       6.25051018e-22       8.42539034e-23
700.00       2.56164294e-21       2.11802799e-21       1.17182676e-21       2.74305541e-22       6.23628220e-22       8.16128461e-23
710.00       2.58642441e-21       1.99325640e-21       1.16280877e-21       2.62788159e-22       6.22245059e-22       7.91456178e-23
720.00       2.59923163e-21       1.87874869e-21       1.15416126e-21       2.52518763e-22       6.20884600e-22       7.69288560e-23
730.00       2.60130082e-21       1.77627161e-21       1.14589012e-21       2.43679163e-22       6.19688386e-22       7.50691968e-23
740.00       2.59450943e-21       1.68288204e-21       1.13773085e-21       2.35945451e-22       6.18467951e-22       7.34847519e-23
750.00       2.58139289e-21       1.59569577e-21       1.12955775e-21       2.28867032e-22       6.17178148e-22       7.20415454e-23
760.00       2.56494379e-21       1.51686863e-21       1.12173122e-21       2.22453300e-22       6.15939271e-22       7.07357262e-23
770.00       2.54703894e-21       1.44676579e-21       1.11452557e-21       2.16723085e-22       6.14874138e-22       6.95838030e-23
780.00       2.52715995e-21       1.38793739e-21       1.10800032e-21       2.12142030e-22       6.14003989e-22       6.87137817e-23
790.00       2.50364247e-21       1.34545801e-21       1.10248791e-21       2.09746853e-22       6.13476460e-22       6.84642771e-23
800.00       2.49562962e-21       1.31095748e-21       1.09958774e-21       2.06764503e-22       6.13737160e-22       6.78693119e-23
