% Al_l130nm_w70nm_h60nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -1.64882621e-22       6.18423313e-22      -4.12711975e-23       9.56984696e-22       2.74821176e-22      -5.16016088e-24
310.00      -2.15318473e-22       6.75644574e-22      -1.73258746e-23       1.11956886e-21       1.68658453e-22       1.41506910e-22
320.00      -2.61399657e-22       7.34199637e-22       5.95031739e-23       1.23876874e-21       1.62003466e-22       2.88576467e-22
330.00      -3.05318180e-22       7.93928875e-22       1.35550937e-22       1.32052173e-21       1.94713071e-22       4.03006805e-22
340.00      -3.48349600e-22       8.55211439e-22       2.02625119e-22       1.38894962e-21       2.40149437e-22       4.93732413e-22
350.00      -3.91091435e-22       9.18539407e-22       2.65548632e-22       1.45337435e-21       2.90532842e-22       5.69412784e-22
360.00      -4.33783753e-22       9.84381614e-22       3.28755004e-22       1.51625796e-21       3.43861185e-22       6.34926960e-22
370.00      -4.76587140e-22       1.05322995e-21       3.94881661e-22       1.57755230e-21       3.99565467e-22       6.92579201e-22
380.00      -5.19673219e-22       1.12546749e-21       4.65433107e-22       1.63679528e-21       4.57560775e-22       7.43684575e-22
390.00      -5.63109915e-22       1.20140336e-21       5.41032874e-22       1.69302378e-21       5.17641712e-22       7.88679458e-22
400.00      -6.06711691e-22       1.28164357e-21       6.22220816e-22       1.74490109e-21       5.79633909e-22       8.27647097e-22
410.00      -6.50433099e-22       1.36647756e-21       7.08799777e-22       1.79139922e-21       6.43160801e-22       8.60639313e-22
420.00      -6.94027791e-22       1.45649427e-21       8.00444605e-22       1.83127535e-21       7.07731570e-22       8.87504901e-22
430.00      -7.37230348e-22       1.55209084e-21       8.96324277e-22       1.86356437e-21       7.72708636e-22       9.08215919e-22
440.00      -7.79721186e-22       1.65342866e-21       9.95128676e-22       1.88739467e-21       8.37212792e-22       9.23038177e-22
450.00      -8.21074575e-22       1.76075299e-21       1.09534715e-21       1.90236843e-21       9.00628084e-22       9.32180728e-22
460.00      -8.60674560e-22       1.87455262e-21       1.19588557e-21       1.90803669e-21       9.62293795e-22       9.35847586e-22
470.00      -8.98310154e-22       1.99548142e-21       1.29576633e-21       1.90469053e-21       1.02188977e-21       9.34569475e-22
480.00      -9.33849385e-22       2.12406144e-21       1.39405928e-21       1.89283216e-21       1.07915836e-21       9.28840643e-22
490.00      -9.66415412e-22       2.26076432e-21       1.48960013e-21       1.87272289e-21       1.13371641e-21       9.19071059e-22
500.00      -9.95227890e-22       2.40595943e-21       1.58116553e-21       1.84498523e-21       1.18518337e-21       9.05681752e-22
510.00      -1.01892047e-21       2.56023135e-21       1.66784868e-21       1.80987320e-21       1.23326658e-21       8.89170606e-22
520.00      -1.03627747e-21       2.72406249e-21       1.74888375e-21       1.76837935e-21       1.27781929e-21       8.69937407e-22
530.00      -1.04581999e-21       2.89752746e-21       1.82358334e-21       1.72138614e-21       1.31870608e-21       8.48485255e-22
540.00      -1.04617313e-21       3.08080635e-21       1.89167312e-21       1.67003956e-21       1.35598397e-21       8.25422156e-22
550.00      -1.03578417e-21       3.27356318e-21       1.95289466e-21       1.61550643e-21       1.38977672e-21       8.01207906e-22
560.00      -1.01291154e-21       3.47522044e-21       2.00725902e-21       1.55898924e-21       1.42018124e-21       7.76299617e-22
570.00      -9.75621489e-22       3.68498162e-21       2.05490245e-21       1.50105267e-21       1.44741417e-21       7.51023136e-22
580.00      -9.21840592e-22       3.90238607e-21       2.09626595e-21       1.44266431e-21       1.47161148e-21       7.25717648e-22
590.00      -8.49556813e-22       4.12584571e-21       2.13162375e-21       1.38438819e-21       1.49300450e-21       7.00442629e-22
600.00      -7.56833417e-22       4.35345755e-21       2.16144464e-21       1.32679713e-21       1.51187037e-21       6.75545919e-22
610.00      -6.42204001e-22       4.58269914e-21       2.18625501e-21       1.27054656e-21       1.52842018e-21       6.51222892e-22
620.00      -5.03931514e-22       4.81066106e-21       2.20642775e-21       1.21591665e-21       1.54283136e-21       6.27598718e-22
630.00      -3.40406453e-22       5.03359578e-21       2.22226724e-21       1.16310322e-21       1.55515263e-21       6.04637456e-22
640.00      -1.51352567e-22       5.24735911e-21       2.23422311e-21       1.11238883e-21       1.56570718e-21       5.82626110e-22
650.00       6.14478936e-23       5.44821279e-21       2.24311262e-21       1.06419554e-21       1.57471912e-21       5.61538734e-22
660.00       2.95831687e-22       5.63286242e-21       2.24940074e-21       1.01848947e-21       1.58259052e-21       5.41556153e-22
670.00       5.51601068e-22       5.79749260e-21       2.25333070e-21       9.75038314e-22       1.58926773e-21       5.22411192e-22
680.00       8.25571483e-22       5.93786381e-21       2.25516030e-21       9.33991288e-22       1.59487641e-21       5.04216578e-22
690.00       1.11316026e-21       6.05069092e-21       2.25513423e-21       8.95346182e-22       1.59955583e-21       4.87078314e-22
700.00       1.41435672e-21       6.13464787e-21       2.25342898e-21       8.58432411e-22       1.60320739e-21       4.70494682e-22
710.00       1.72339051e-21       6.18707807e-21       2.25035557e-21       8.23459821e-22       1.60604547e-21       4.54649155e-22
720.00       2.02950653e-21       6.20682990e-21       2.24610485e-21       7.91065198e-22       1.60833986e-21       4.40031724e-22
730.00       2.32147571e-21       6.19490536e-21       2.24113456e-21       7.62013115e-22       1.61019541e-21       4.26924095e-22
740.00       2.60067322e-21       6.15090199e-21       2.23488261e-21       7.35323187e-22       1.61137587e-21       4.15008791e-22
750.00       2.86777485e-21       6.07774498e-21       2.22744640e-21       7.10147862e-22       1.61175191e-21       4.03725917e-22
760.00       3.11701963e-21       5.98373944e-21       2.21975409e-21       6.86796648e-22       1.61182105e-21       3.93189918e-22
770.00       3.34508032e-21       5.87726936e-21       2.21238520e-21       6.65327941e-22       1.61204906e-21       3.83479420e-22
780.00       3.54242876e-21       5.76443625e-21       2.20556302e-21       6.46797352e-22       1.61256568e-21       3.75161370e-22
790.00       3.69401280e-21       5.65232632e-21       2.19924103e-21       6.32908260e-22       1.61364192e-21       3.69431402e-22
