% Al_l120nm_w90nm_h50nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -2.06064052e-22       7.11822241e-22      -1.44139686e-22       8.55724656e-22       2.02317213e-22       2.38240860e-22
310.00      -2.53230292e-22       7.78344498e-22      -2.13341042e-22       9.56886513e-22       2.51376999e-22       3.32915795e-22
320.00      -2.94618523e-22       8.45334164e-22      -2.38562667e-22       1.07922641e-21       3.05254346e-22       3.99649816e-22
330.00      -3.33291737e-22       9.12963736e-22      -2.38266695e-22       1.19050892e-21       3.57744651e-22       4.51034502e-22
340.00      -3.70819365e-22       9.81887709e-22      -2.30733855e-22       1.29166239e-21       4.08805680e-22       4.93427482e-22
350.00      -4.07753826e-22       1.05294131e-21      -2.20640709e-22       1.38903288e-21       4.59073205e-22       5.29335467e-22
360.00      -4.44290571e-22       1.12680842e-21      -2.08219274e-22       1.48624768e-21       5.08870604e-22       5.59917837e-22
370.00      -4.80428965e-22       1.20411569e-21      -1.92515855e-22       1.58523049e-21       5.58465576e-22       5.85679714e-22
380.00      -5.16250745e-22       1.28530536e-21      -1.72592524e-22       1.68696933e-21       6.07824819e-22       6.06955806e-22
390.00      -5.51652086e-22       1.37088404e-21      -1.47440748e-22       1.79186491e-21       6.56885219e-22       6.23929421e-22
400.00      -5.86297423e-22       1.46142872e-21      -1.15640850e-22       1.89996987e-21       7.05290828e-22       6.36684029e-22
410.00      -6.19970305e-22       1.55728680e-21      -7.63750236e-23       2.01083211e-21       7.52864589e-22       6.45406835e-22
420.00      -6.52204713e-22       1.65905064e-21      -2.82089698e-23       2.12411668e-21       7.99197644e-22       6.50192677e-22
430.00      -6.82476908e-22       1.76712423e-21       2.98251367e-23       2.23885338e-21       8.43958704e-22       6.51338654e-22
440.00      -7.10251181e-22       1.88166040e-21       9.83238193e-23       2.35367042e-21       8.86818186e-22       6.49241946e-22
450.00      -7.34828072e-22       2.00268712e-21       1.77859006e-22       2.46696867e-21       9.27520427e-22       6.44266899e-22
