% Al_l110nm_w80nm_h50nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -2.48345997e-22       6.39219520e-22      -2.03430745e-22       8.27081833e-22       2.00881218e-22       3.72479154e-22
310.00      -2.84049221e-22       6.97102938e-22      -2.07051442e-22       9.34079234e-22       2.45544330e-22       4.39196067e-22
320.00      -3.18004914e-22       7.56105290e-22      -1.97658402e-22       1.02784875e-21       2.92357515e-22       4.91244653e-22
330.00      -3.51320465e-22       8.16856297e-22      -1.85011426e-22       1.11550986e-21       3.39823585e-22       5.34311753e-22
340.00      -3.84616771e-22       8.80108866e-22      -1.70385335e-22       1.20226170e-21       3.88037736e-22       5.70954151e-22
350.00      -4.17911842e-22       9.46442809e-22      -1.52669363e-22       1.29036100e-21       4.37146701e-22       6.02075224e-22
360.00      -4.50975654e-22       1.01654677e-21      -1.30314844e-22       1.38075844e-21       4.87104433e-22       6.27818998e-22
370.00      -4.83624286e-22       1.09099984e-21      -1.01852152e-22       1.47378649e-21       5.37589927e-22       6.48318942e-22
380.00      -5.15712794e-22       1.17022041e-21      -6.62896851e-23       1.56923391e-21       5.88253887e-22       6.63690213e-22
390.00      -5.46923749e-22       1.25473259e-21      -2.24282864e-23       1.66654930e-21       6.38599335e-22       6.74038140e-22
400.00      -5.76861309e-22       1.34505511e-21       3.08653803e-23       1.76492753e-21       6.88050061e-22       6.79504864e-22
410.00      -6.05013747e-22       1.44161382e-21       9.45285721e-23       1.86310984e-21       7.36097280e-22       6.80347946e-22
420.00      -6.30690782e-22       1.54504938e-21       1.69496534e-22       1.95964780e-21       7.82245165e-22       6.76834812e-22
430.00      -6.53106247e-22       1.65572291e-21       2.56296182e-22       2.05262569e-21       8.26007832e-22       6.69501485e-22
440.00      -6.71421211e-22       1.77372676e-21       3.54544413e-22       2.13991534e-21       8.66971786e-22       6.58894571e-22
450.00      -6.84464771e-22       1.89907247e-21       4.63647958e-22       2.21902461e-21       9.04893842e-22       6.45614915e-22
460.00      -6.91097553e-22       2.03203368e-21       5.82843944e-22       2.28801414e-21       9.39590839e-22       6.30121451e-22
470.00      -6.90432412e-22       2.17304193e-21       7.10918940e-22       2.34561628e-21       9.71318976e-22       6.12945500e-22
480.00      -6.81096197e-22       2.32208376e-21       8.46209637e-22       2.39023956e-21       1.00012840e-21       5.94408346e-22
490.00      -6.61769348e-22       2.47909444e-21       9.86563678e-22       2.42101147e-21       1.02612285e-21       5.74957591e-22
500.00      -6.30505861e-22       2.64347559e-21       1.12979991e-21       2.43655591e-21       1.04938538e-21       5.54875977e-22
510.00      -5.84967541e-22       2.81444432e-21       1.27338588e-21       2.43628207e-21       1.06999248e-21       5.34461382e-22
520.00      -5.22900104e-22       2.99060065e-21       1.41460706e-21       2.42015793e-21       1.08801721e-21       5.13954825e-22
530.00      -4.42294151e-22       3.17038424e-21       1.55115300e-21       2.38910923e-21       1.10367469e-21       4.93536686e-22
540.00      -3.41561396e-22       3.35133175e-21       1.68069815e-21       2.34440909e-21       1.11721766e-21       4.73409601e-22
550.00      -2.19438131e-22       3.53031496e-21       1.80116445e-21       2.28827297e-21       1.12882532e-21       4.53809795e-22
560.00      -7.50652864e-23       3.70362772e-21       1.91133113e-21       2.22225377e-21       1.13870679e-21       4.34852202e-22
570.00       9.18800474e-23       3.86740979e-21       2.01020212e-21       2.14876015e-21       1.14701329e-21       4.16634776e-22
580.00       2.80951787e-22       4.01787440e-21       2.09770359e-21       2.06970948e-21       1.15394026e-21       3.99114021e-22
590.00       4.90557120e-22       4.15071487e-21       2.17392608e-21       1.98679066e-21       1.15962888e-21       3.82336335e-22
600.00       7.18174853e-22       4.26187561e-21       2.23916249e-21       1.90205641e-21       1.16424803e-21       3.66367305e-22
610.00       9.59924047e-22       4.34796384e-21       2.29399754e-21       1.81696431e-21       1.16792977e-21       3.51186313e-22
620.00       1.21098537e-21       4.40638553e-21       2.33920814e-21       1.73281603e-21       1.17081647e-21       3.36805282e-22
630.00       1.46742087e-21       4.43472378e-21       2.37545847e-21       1.65036089e-21       1.17289275e-21       3.23218257e-22
640.00       1.72298081e-21       4.43277706e-21       2.40358744e-21       1.57036048e-21       1.17433098e-21       3.10422527e-22
650.00       1.97194673e-21       4.40273682e-21       2.42499500e-21       1.49405156e-21       1.17526406e-21       2.98402903e-22
660.00       2.20976202e-21       4.34751963e-21       2.44066877e-21       1.42152292e-21       1.17584951e-21       2.87100577e-22
670.00       2.43369712e-21       4.26959027e-21       2.45142411e-21       1.35274673e-21       1.17608458e-21       2.76472689e-22
680.00       2.64047388e-21       4.17202210e-21       2.45783173e-21       1.28793111e-21       1.17599790e-21       2.66502157e-22
690.00       2.82779737e-21       4.05851818e-21       2.46046071e-21       1.22713852e-21       1.17561231e-21       2.57175155e-22
700.00       2.99698571e-21       3.93134714e-21       2.45980662e-21       1.16924789e-21       1.17491564e-21       2.48302316e-22
710.00       3.14657320e-21       3.79419430e-21       2.45643877e-21       1.11470009e-21       1.17394078e-21       2.39893400e-22
720.00       3.27368827e-21       3.65337171e-21       2.45080377e-21       1.06451605e-21       1.17290972e-21       2.32206735e-22
730.00       3.37695888e-21       3.51468486e-21       2.44343666e-21       1.01978848e-21       1.17186506e-21       2.25409791e-22
740.00       3.45943590e-21       3.37591750e-21       2.43369832e-21       9.78709450e-22       1.17054998e-21       2.19301775e-22
750.00       3.52530307e-21       3.23747699e-21       2.42222233e-21       9.40326498e-22       1.16899220e-21       2.13604913e-22
760.00       3.57728802e-21       3.10430260e-21       2.41017238e-21       9.04923190e-22       1.16741711e-21       2.08358844e-22
770.00       3.61823418e-21       2.98016583e-21       2.39845091e-21       8.72716001e-22       1.16605743e-21       2.03533345e-22
780.00       3.64649289e-21       2.86846916e-21       2.38706083e-21       8.45042127e-22       1.16500330e-21       1.99468216e-22
790.00       3.65814155e-21       2.77690799e-21       2.37592488e-21       8.24508627e-22       1.16447118e-21       1.96877880e-22
800.00       3.68566568e-21       2.70361220e-21       2.37229908e-21       8.05057554e-22       1.16562090e-21       1.93735845e-22
