% Al_l120nm_w100nm_h60nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -8.98354971e-23       8.07615059e-22      -4.14906343e-23       8.98064791e-22       2.63429876e-22       2.19293224e-22
310.00      -1.41080478e-22       8.90592098e-22      -1.08923434e-22       9.93441414e-22       2.77656742e-22       3.62265965e-22
320.00      -1.81642605e-22       9.74268064e-22      -1.44326335e-22       1.11271085e-21       3.22029431e-22       4.68000872e-22
330.00      -2.16941323e-22       1.05699151e-21      -1.54811163e-22       1.22603998e-21       3.72430095e-22       5.50471022e-22
340.00      -2.49838866e-22       1.13985781e-21      -1.56667846e-22       1.33036700e-21       4.23702406e-22       6.19935607e-22
350.00      -2.81426739e-22       1.22379573e-21      -1.56056121e-22       1.43011396e-21       4.75253607e-22       6.81328825e-22
360.00      -3.12040481e-22       1.30983213e-21      -1.54063584e-22       1.52906610e-21       5.27530596e-22       7.37015800e-22
370.00      -3.41772950e-22       1.39865572e-21      -1.50352125e-22       1.62928816e-21       5.80906877e-22       7.87964358e-22
380.00      -3.70653623e-22       1.49087891e-21      -1.44292332e-22       1.73205713e-21       6.35829617e-22       8.34738134e-22
390.00      -3.98550332e-22       1.58705592e-21      -1.35163346e-22       1.83807651e-21       6.92451886e-22       8.77446602e-22
400.00      -4.25211643e-22       1.68760220e-21      -1.22123585e-22       1.94775170e-21       7.50706102e-22       9.15986396e-22
410.00      -4.50367975e-22       1.79307472e-21      -1.04370281e-22       2.06135279e-21       8.10495267e-22       9.50199116e-22
420.00      -4.73349655e-22       1.90385562e-21      -8.06881314e-23       2.17884007e-21       8.71634805e-22       9.79764549e-22
430.00      -4.93698421e-22       2.02028370e-21      -5.02351793e-23       2.29997787e-21       9.33694960e-22       1.00454839e-21
440.00      -5.10960167e-22       2.14238417e-21      -1.23806789e-23       2.42419788e-21       9.96196193e-22       1.02455476e-21
450.00      -5.24462775e-22       2.27017786e-21       3.36077751e-23       2.55071400e-21       1.05840527e-21       1.03993502e-21
460.00      -5.33506542e-22       2.40387993e-21       8.86188880e-23       2.67892206e-21       1.12005651e-21       1.05049454e-21
470.00      -5.37402913e-22       2.54397069e-21       1.53606689e-22       2.80846139e-21       1.18082435e-21       1.05649795e-21
480.00      -5.35711418e-22       2.69083328e-21       2.29032326e-22       2.93885017e-21       1.24046616e-21       1.05817412e-21
490.00      -5.27473975e-22       2.84448140e-21       3.15561573e-22       3.06890186e-21       1.29858731e-21       1.05572404e-21
500.00      -5.11479077e-22       3.00485521e-21       4.14050302e-22       3.19724049e-21       1.35474039e-21       1.04938387e-21
510.00      -4.86322344e-22       3.17166969e-21       5.25018500e-22       3.32211778e-21       1.40848806e-21       1.03939946e-21
520.00      -4.50313824e-22       3.34442841e-21       6.48891264e-22       3.44138760e-21       1.45948770e-21       1.02602253e-21
530.00      -4.02203309e-22       3.52273410e-21       7.85610915e-22       3.55346028e-21       1.50757824e-21       1.00967403e-21
540.00      -3.40798933e-22       3.70566041e-21       9.34551750e-22       3.65647277e-21       1.55260802e-21       9.90834190e-22
550.00      -2.65009386e-22       3.89216125e-21       1.09461146e-21       3.74863655e-21       1.59453943e-21       9.69980201e-22
560.00      -1.73383670e-22       4.08013234e-21       1.26425540e-21       3.82767058e-21       1.63324579e-21       9.47529893e-22
570.00      -6.51814455e-23       4.26807654e-21       1.44170135e-21       3.89237940e-21       1.66879997e-21       9.23915234e-22
580.00       6.11016559e-23       4.45421795e-21       1.62573480e-21       3.94138692e-21       1.70127986e-21       8.99287692e-22
590.00       2.05682805e-22       4.63615507e-21       1.81383646e-21       3.97381254e-21       1.73083193e-21       8.74040379e-22
600.00       3.69047718e-22       4.81143650e-21       2.00375443e-21       3.98906906e-21       1.75751599e-21       8.48440320e-22
610.00       5.50822011e-22       4.97726060e-21       2.19279890e-21       3.98747334e-21       1.78155680e-21       8.22832638e-22
620.00       7.49908543e-22       5.13079036e-21       2.37871354e-21       3.96925076e-21       1.80309141e-21       7.97315876e-22
630.00       9.65911123e-22       5.26866174e-21       2.55913963e-21       3.93477097e-21       1.82218291e-21       7.72124827e-22
640.00       1.19667542e-21       5.38800090e-21       2.73202790e-21       3.88501137e-21       1.83901274e-21       7.47400115e-22
650.00       1.43850467e-21       5.48751182e-21       2.89542563e-21       3.82285651e-21       1.85389328e-21       7.23399032e-22
660.00       1.68854564e-21       5.56615337e-21       3.04852997e-21       3.75023814e-21       1.86715447e-21       7.00142479e-22
670.00       1.94460720e-21       5.62240241e-21       3.19073391e-21       3.66834973e-21       1.87882867e-21       6.77673243e-22
680.00       2.20374721e-21       5.65513787e-21       3.32110405e-21       3.57907528e-21       1.88901897e-21       6.55930683e-22
690.00       2.46154164e-21       5.66413300e-21       3.43923783e-21       3.48406985e-21       1.89786006e-21       6.35149025e-22
700.00       2.71809599e-21       5.64934366e-21       3.54627782e-21       3.38311588e-21       1.90527451e-21       6.14870728e-22
710.00       2.96882851e-21       5.61170860e-21       3.64177115e-21       3.27867081e-21       1.91157567e-21       5.95331541e-22
720.00       3.20688117e-21       5.55380043e-21       3.72458340e-21       3.17433065e-21       1.91689661e-21       5.77012376e-22
730.00       3.42582288e-21       5.48002054e-21       3.79435681e-21       3.07325569e-21       1.92159130e-21       5.60391568e-22
740.00       3.62726667e-21       5.38887855e-21       3.85189399e-21       2.97338505e-21       1.92514443e-21       5.44974694e-22
750.00       3.81336741e-21       5.28229200e-21       3.89947851e-21       2.87427163e-21       1.92765906e-21       5.30291722e-22
760.00       3.98322168e-21       5.16659605e-21       3.93902700e-21       2.77809451e-21       1.92965838e-21       5.16407635e-22
770.00       4.13660953e-21       5.04834138e-21       3.97250796e-21       2.68736378e-21       1.93161137e-21       5.03497349e-22
780.00       4.26861695e-21       4.93299513e-21       3.99901376e-21       2.60524602e-21       1.93367158e-21       4.92174538e-22
