% Al_l120nm_w40nm_h40nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -2.78160666e-22       2.93980599e-22       3.56958773e-22       7.56181119e-22       1.18853353e-22       2.23010697e-22
310.00      -3.16207188e-22       3.19572685e-22       4.30898942e-22       7.26035380e-22       1.65054231e-22       2.69267723e-22
320.00      -3.52740799e-22       3.46773524e-22       4.90048696e-22       6.92679870e-22       2.12292781e-22       2.95725913e-22
330.00      -3.88942677e-22       3.75469655e-22       5.39243361e-22       6.57639317e-22       2.56877367e-22       3.09685031e-22
340.00      -4.25614497e-22       4.05724418e-22       5.80638706e-22       6.21627013e-22       2.97747325e-22       3.15129422e-22
350.00      -4.63100968e-22       4.37916586e-22       6.15038902e-22       5.84756595e-22       3.34696971e-22       3.14423910e-22
360.00      -5.01633589e-22       4.72424756e-22       6.42990138e-22       5.47598138e-22       3.67628995e-22       3.09138743e-22
370.00      -5.41368360e-22       5.09634921e-22       6.65049238e-22       5.10860285e-22       3.96458287e-22       3.00602093e-22
380.00      -5.82446754e-22       5.49865668e-22       6.81940179e-22       4.75140378e-22       4.21479104e-22       2.89833792e-22
390.00      -6.24950053e-22       5.93448917e-22       6.94397700e-22       4.41079694e-22       4.42937180e-22       2.77655773e-22
400.00      -6.68920641e-22       6.40825879e-22       7.03080396e-22       4.08882830e-22       4.61199428e-22       2.64737546e-22
410.00      -7.14320900e-22       6.92458142e-22       7.08573038e-22       3.78761920e-22       4.76576000e-22       2.51511491e-22
420.00      -7.61117721e-22       7.48944625e-22       7.11481205e-22       3.50750595e-22       4.89447295e-22       2.38305994e-22
430.00      -8.09188765e-22       8.10816966e-22       7.12280148e-22       3.24891274e-22       5.00124396e-22       2.25355608e-22
440.00      -8.58077436e-22       8.78616763e-22       7.11393370e-22       3.01238346e-22       5.08901583e-22       2.12989444e-22
450.00      -9.07331086e-22       9.52765134e-22       7.09208892e-22       2.79774986e-22       5.16099136e-22       2.01306543e-22
460.00      -9.56497851e-22       1.03406682e-21       7.06025159e-22       2.60266588e-22       5.21901127e-22       1.90320204e-22
470.00      -1.00540951e-21       1.12321656e-21       7.02188762e-22       2.42524066e-22       5.26656871e-22       1.80019759e-22
480.00      -1.05385201e-21       1.22089652e-21       6.97951384e-22       2.26301596e-22       5.30531883e-22       1.70332337e-22
