% Al_l110nm_w50nm_h40nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -3.01597822e-22       3.61748125e-22       1.79749579e-23       8.69750252e-22       1.65387751e-22       3.00032901e-22
310.00      -3.36323409e-22       3.93760950e-22       1.02144661e-22       9.22448267e-22       2.11629742e-22       3.30785287e-22
320.00      -3.70875126e-22       4.27652831e-22       1.85718812e-22       9.59919524e-22       2.56799642e-22       3.49448360e-22
330.00      -4.05902303e-22       4.63562905e-22       2.69527138e-22       9.86097252e-22       2.99637195e-22       3.59486391e-22
340.00      -4.41870819e-22       5.01795073e-22       3.54010394e-22       1.00179741e-21       3.39747461e-22       3.62993419e-22
350.00      -4.78881877e-22       5.42814406e-22       4.38302041e-22       1.00633975e-21       3.76800858e-22       3.61269087e-22
360.00      -5.16979421e-22       5.87141739e-22       5.20722565e-22       9.99489807e-22       4.10494582e-22       3.55270137e-22
370.00      -5.56133865e-22       6.35284404e-22       5.99257843e-22       9.81663281e-22       4.40583796e-22       3.46007826e-22
380.00      -5.96346111e-22       6.87714661e-22       6.72018852e-22       9.54084814e-22       4.67204441e-22       3.34277163e-22
390.00      -6.37550879e-22       7.44898736e-22       7.37490991e-22       9.18577515e-22       4.90261082e-22       3.21017042e-22
400.00      -6.79552836e-22       8.07456075e-22       7.94706112e-22       8.77103011e-22       5.10142936e-22       3.06735984e-22
410.00      -7.22111061e-22       8.76040186e-22       8.43336086e-22       8.31429569e-22       5.27029901e-22       2.91930699e-22
420.00      -7.64961850e-22       9.51394321e-22       8.83553455e-22       7.83474052e-22       5.41270911e-22       2.76990132e-22
430.00      -8.07388939e-22       1.03431344e-21       9.15675219e-22       7.34777618e-22       5.53068853e-22       2.62245924e-22
440.00      -8.48727482e-22       1.12530567e-21       9.40420630e-22       6.86800772e-22       5.62794240e-22       2.48003888e-22
450.00      -8.87954704e-22       1.22489576e-21       9.58670956e-22       6.40727108e-22       5.70695563e-22       2.34448106e-22
460.00      -9.23884207e-22       1.33407730e-21       9.71353420e-22       5.96849067e-22       5.77069648e-22       2.21639359e-22
470.00      -9.55737320e-22       1.45345252e-21       9.79665007e-22       5.55673454e-22       5.82185854e-22       2.09540761e-22
480.00      -9.82369660e-22       1.58395931e-21       9.84588905e-22       5.17290066e-22       5.86320998e-22       1.98111587e-22
490.00      -1.00217597e-21       1.72599170e-21       9.86755782e-22       4.81662113e-22       5.89629252e-22       1.87433979e-22
500.00      -1.01262303e-21       1.88027799e-21       9.86631159e-22       4.48739344e-22       5.92189383e-22       1.77386602e-22
510.00      -1.01076233e-21       2.04697153e-21       9.84572215e-22       4.18364334e-22       5.94114793e-22       1.68007107e-22
520.00      -9.93128229e-22       2.22586772e-21       9.80974654e-22       3.90444329e-22       5.95440933e-22       1.59247709e-22
530.00      -9.56280845e-22       2.41603068e-21       9.76167579e-22       3.64714150e-22       5.96287195e-22       1.51045109e-22
540.00      -8.96429674e-22       2.61536298e-21       9.70546013e-22       3.41195737e-22       5.96752447e-22       1.43423108e-22
550.00      -8.10119060e-22       2.82011714e-21       9.64267406e-22       3.19641830e-22       5.96886206e-22       1.36316104e-22
560.00      -6.93828992e-22       3.02561442e-21       9.57546888e-22       2.99984119e-22       5.96779277e-22       1.29743241e-22
570.00      -5.45219452e-22       3.22587442e-21       9.50544504e-22       2.82039605e-22       5.96441067e-22       1.23639564e-22
580.00      -3.63226474e-22       3.41428362e-21       9.43343790e-22       2.65598767e-22       5.95944757e-22       1.17964003e-22
590.00      -1.48822461e-22       3.58309806e-21       9.36061091e-22       2.50536614e-22       5.95295322e-22       1.12688173e-22
600.00       9.46242795e-23       3.72429013e-21       9.28792230e-22       2.36756228e-22       5.94553648e-22       1.07803295e-22
610.00       3.61199106e-22       3.83081737e-21       9.21570555e-22       2.24130393e-22       5.93689930e-22       1.03244156e-22
620.00       6.42397607e-22       3.89745636e-21       9.14500594e-22       2.12588906e-22       5.92794753e-22       9.90250663e-23
630.00       9.30716353e-22       3.92045422e-21       9.07481441e-22       2.02003277e-22       5.91795443e-22       9.51072610e-23
640.00       1.21432816e-21       3.89972260e-21       9.00558939e-22       1.92327795e-22       5.90755631e-22       9.15050696e-23
650.00       1.48329209e-21       3.84012880e-21       8.93866996e-22       1.83492628e-22       5.89722812e-22       8.81779904e-23
660.00       1.73084751e-21       3.74811426e-21       8.87466708e-22       1.75402120e-22       5.88715917e-22       8.50988990e-23
670.00       1.95277122e-21       3.63038657e-21       8.81344876e-22       1.67983333e-22       5.87712053e-22       8.22378468e-23
680.00       2.14670960e-21       3.49250864e-21       8.75395593e-22       1.61165362e-22       5.86727737e-22       7.95900773e-23
690.00       2.31089206e-21       3.34158735e-21       8.69636002e-22       1.54931285e-22       5.85756308e-22       7.71588550e-23
700.00       2.44928146e-21       3.18162138e-21       8.63999870e-22       1.49090198e-22       5.84732579e-22       7.48529406e-23
710.00       2.56189107e-21       3.01860912e-21       8.58532531e-22       1.43671820e-22       5.83691617e-22       7.26950186e-23
720.00       2.64746909e-21       2.85954043e-21       8.53292392e-22       1.38828004e-22       5.82702068e-22       7.07689462e-23
730.00       2.70688638e-21       2.71004982e-21       8.48417596e-22       1.34727998e-22       5.81847422e-22       6.91738505e-23
740.00       2.74513112e-21       2.56775171e-21       8.43616217e-22       1.31185371e-22       5.80951631e-22       6.78184888e-23
750.00       2.76810297e-21       2.43109849e-21       8.38821284e-22       1.27962789e-22       5.79964541e-22       6.65989227e-23
760.00       2.77962136e-21       2.30530963e-21       8.34236288e-22       1.25052467e-22       5.79035702e-22       6.55044703e-23
