% Al_l100nm_w40nm_h60nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -2.68997015e-22       3.83102560e-22       3.37282090e-22       6.04900427e-22      -4.54414980e-23       3.82439075e-22
310.00      -3.01083442e-22       4.21338760e-22       3.87861730e-22       6.02659455e-22      -4.97044041e-23       4.65398470e-22
320.00      -3.33253803e-22       4.62003426e-22       4.35054495e-22       5.95741335e-22      -3.90861034e-23       5.44625507e-22
330.00      -3.65940746e-22       5.05408212e-22       4.79142547e-22       5.84716664e-22      -1.76135383e-23       6.21072960e-22
340.00      -3.99412273e-22       5.52009292e-22       5.20139216e-22       5.69903100e-22       1.37759536e-23       6.95350977e-22
350.00      -4.33599696e-22       6.02394213e-22       5.57602603e-22       5.51552552e-22       5.53776480e-23       7.66742037e-22
360.00      -4.68290059e-22       6.57105276e-22       5.91054934e-22       5.30244112e-22       1.07396300e-22       8.33912992e-22
370.00      -5.03297877e-22       7.16876785e-22       6.20321983e-22       5.06600574e-22       1.69703073e-22       8.94749746e-22
380.00      -5.38314494e-22       7.82167973e-22       6.45359714e-22       4.81568633e-22       2.41423678e-22       9.47175711e-22
390.00      -5.73004690e-22       8.53747955e-22       6.66360009e-22       4.55751129e-22       3.20872816e-22       9.89135235e-22
400.00      -6.06901839e-22       9.32212621e-22       6.83612636e-22       4.29831954e-22       4.05996144e-22       1.01907037e-21
410.00      -6.39150328e-22       1.01839410e-21       6.97387310e-22       4.04257464e-22       4.93871682e-22       1.03577104e-21
420.00      -6.68906577e-22       1.11302520e-21       7.08068538e-22       3.79409130e-22       5.81631544e-22       1.03913743e-21
430.00      -6.94909772e-22       1.21692556e-21       7.16053396e-22       3.55577899e-22       6.66666777e-22       1.02976582e-21
440.00      -7.15747971e-22       1.33029074e-21       7.21707691e-22       3.33053956e-22       7.45896163e-22       1.00928986e-21
450.00      -7.29601654e-22       1.45326956e-21       7.25424931e-22       3.12009602e-22       8.17673531e-22       9.79810864e-22
460.00      -7.34240468e-22       1.58630715e-21       7.27505227e-22       2.92409022e-22       8.80934733e-22       9.43312279e-22
470.00      -7.27819332e-22       1.72931206e-21       7.28298015e-22       2.74148293e-22       9.35651837e-22       9.02202824e-22
480.00      -7.08156763e-22       1.88209753e-21       7.28182800e-22       2.57198864e-22       9.82256044e-22       8.58319430e-22
490.00      -6.72719070e-22       2.04349521e-21       7.27317412e-22       2.41462980e-22       1.02120045e-21       8.13136236e-22
500.00      -6.17950972e-22       2.21196212e-21       7.25820453e-22       2.26897841e-22       1.05299824e-21       7.67792474e-22
510.00      -5.40504935e-22       2.38470784e-21       7.23777175e-22       2.13415610e-22       1.07832007e-21       7.23248346e-22
