% Al_l120nm_w60nm_h60nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -2.21169345e-22       5.41805058e-22       5.84223461e-23       9.72440857e-22       1.41992349e-22       1.96277391e-22
310.00      -2.61875748e-22       5.91958849e-22       1.41139948e-22       1.04490632e-21       1.11069243e-22       3.23760499e-22
320.00      -3.00937034e-22       6.43484996e-22       2.12233704e-22       1.09679657e-21       1.26053927e-22       4.31569802e-22
330.00      -3.39476046e-22       6.96657548e-22       2.76509551e-22       1.14309649e-21       1.58416153e-22       5.20299125e-22
340.00      -3.78176640e-22       7.51947127e-22       3.39627461e-22       1.18726833e-21       1.98826078e-22       5.96666639e-22
350.00      -4.17230738e-22       8.09859011e-22       4.04547709e-22       1.22904120e-21       2.44752887e-22       6.64453385e-22
360.00      -4.56723093e-22       8.70834604e-22       4.72708593e-22       1.26732321e-21       2.95482480e-22       7.25317353e-22
370.00      -4.96513101e-22       9.35451485e-22       5.44664543e-22       1.30071183e-21       3.50758297e-22       7.79758514e-22
380.00      -5.36671129e-22       1.00408965e-21       6.20075773e-22       1.32833832e-21       4.10140777e-22       8.27840217e-22
390.00      -5.77110960e-22       1.07715353e-21       6.98410358e-22       1.34927118e-21       4.73133349e-22       8.69371038e-22
400.00      -6.17675622e-22       1.15511754e-21       7.78668241e-22       1.36280745e-21       5.39044083e-22       9.03918428e-22
410.00      -6.58078803e-22       1.23848202e-21       8.59811975e-22       1.36842412e-21       6.07072214e-22       9.31183360e-22
420.00      -6.98025681e-22       1.32780267e-21       9.40640888e-22       1.36585749e-21       6.76111262e-22       9.50956485e-22
430.00      -7.37055159e-22       1.42359672e-21       1.01978278e-21       1.35530345e-21       7.45362533e-22       9.63156434e-22
440.00      -7.74643303e-22       1.52613376e-21       1.09585999e-21       1.33721244e-21       8.13262401e-22       9.68257939e-22
450.00      -8.10110165e-22       1.63565327e-21       1.16758726e-21       1.31257907e-21       8.78922540e-22       9.66658750e-22
460.00      -8.42588721e-22       1.75272026e-21       1.23424893e-21       1.28197317e-21       9.41496799e-22       9.59003156e-22
470.00      -8.71621358e-22       1.87792303e-21       1.29561064e-21       1.24666358e-21       1.00057109e-21       9.46030720e-22
480.00      -8.96770542e-22       2.01196801e-21       1.35167083e-21       1.20751565e-21       1.05595539e-21       9.28544700e-22
490.00      -9.16749896e-22       2.15509084e-21       1.40209437e-21       1.16553340e-21       1.10722230e-21       9.07407400e-22
500.00      -9.30141377e-22       2.30775499e-21       1.44681090e-21       1.12145383e-21       1.15415151e-21       8.83176345e-22
510.00      -9.35206118e-22       2.47016624e-21       1.48583130e-21       1.07602518e-21       1.19659797e-21       8.56441417e-22
520.00      -9.29936178e-22       2.64238470e-21       1.51930330e-21       1.02991605e-21       1.23448318e-21       8.27948794e-22
530.00      -9.12434693e-22       2.82435717e-21       1.54761229e-21       9.83686048e-22       1.26806929e-21       7.98241910e-22
540.00      -8.80397830e-22       3.01550122e-21       1.57114391e-21       9.38026281e-22       1.29756052e-21       7.67853156e-22
550.00      -8.31831627e-22       3.21439024e-21       1.59030445e-21       8.93341145e-22       1.32324924e-21       7.37424886e-22
560.00      -7.64544267e-22       3.41929405e-21       1.60554161e-21       8.50188345e-22       1.34532673e-21       7.07237028e-22
570.00      -6.76164459e-22       3.62809121e-21       1.61732579e-21       8.08788953e-22       1.36420074e-21       6.77694736e-22
580.00      -5.64622400e-22       3.83825732e-21       1.62602517e-21       7.69075192e-22       1.38018166e-21       6.48922484e-22
590.00      -4.27980673e-22       4.04647733e-21       1.63204014e-21       7.31205850e-22       1.39356029e-21       6.21135368e-22
600.00      -2.65551307e-22       4.24864473e-21       1.63579473e-21       6.95320323e-22       1.40466403e-21       5.94345544e-22
