% Al_l160nm_w100nm_h40nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00       1.06650551e-22       9.67355133e-22      -1.40486546e-22       1.26058436e-21      -1.44611930e-22      -3.47729142e-22
310.00      -8.88746522e-24       9.18008274e-22      -1.47788767e-22       1.32616030e-21      -1.08679544e-22      -1.45900184e-22
320.00      -1.30612110e-22       9.25715802e-22      -1.58591032e-22       1.38386337e-21      -2.43344600e-23      -1.56624288e-23
330.00      -2.37674224e-22       9.67877097e-22      -1.82867644e-22       1.43373174e-21       6.27031683e-23       6.57945307e-23
340.00      -3.28701447e-22       1.02664219e-21      -2.35972547e-22       1.48606175e-21       1.41275391e-22       1.19905285e-22
350.00      -4.07748578e-22       1.09324980e-21      -3.22565190e-22       1.57390435e-21       2.10903637e-22       1.58544375e-22
360.00      -4.78696274e-22       1.16396185e-21      -4.01620458e-22       1.72814161e-21       2.73045083e-22       1.87795183e-22
370.00      -5.44361668e-22       1.23732011e-21      -4.23553505e-22       1.91776536e-21       3.29239686e-22       2.10920656e-22
380.00      -6.06826271e-22       1.31304004e-21      -3.97082491e-22       2.09598313e-21       3.80768849e-22       2.29673636e-22
390.00      -6.67334308e-22       1.39108592e-21      -3.49820310e-22       2.25287054e-21       4.28494630e-22       2.45112883e-22
400.00      -7.26770480e-22       1.47167462e-21      -2.95483055e-22       2.39566152e-21       4.73075271e-22       2.57843190e-22
410.00      -7.85678808e-22       1.55515123e-21      -2.37263519e-22       2.53129948e-21       5.14982628e-22       2.68246477e-22
420.00      -8.44425594e-22       1.64195094e-21      -1.74728376e-22       2.66396635e-21       5.54523087e-22       2.76611356e-22
430.00      -9.03191542e-22       1.73243732e-21      -1.06454426e-22       2.79545765e-21       5.91892919e-22       2.83118453e-22
440.00      -9.61990404e-22       1.82671066e-21      -3.15157251e-23       2.92606421e-21       6.27273668e-22       2.88017614e-22
450.00      -1.02077389e-21       1.92485603e-21       5.11147797e-23       3.05526686e-21       6.60733755e-22       2.91537632e-22
460.00      -1.07945804e-21       2.02742610e-21       1.42663292e-22       3.18261328e-21       6.92412564e-22       2.93743255e-22
470.00      -1.13835279e-21       2.13474082e-21       2.43480179e-22       3.30792780e-21       7.22392088e-22       2.94815342e-22
480.00      -1.19756754e-21       2.24746453e-21       3.54660370e-22       3.43074873e-21       7.50824702e-22       2.94788417e-22
490.00      -1.25709201e-21       2.36586461e-21       4.76124562e-22       3.54985623e-21       7.77782018e-22       2.93793236e-22
