% Al_l150nm_w80nm_h60nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00       2.23848019e-23       7.25270653e-22       9.51833086e-23       1.07000820e-21       6.32049301e-22      -2.82022929e-22
310.00      -7.13536765e-23       7.72637529e-22       5.07532189e-23       1.14714818e-21       4.07538560e-22      -3.49201327e-22
320.00      -1.49072097e-22       8.33661355e-22      -4.69483042e-24       1.27157593e-21       2.00338395e-22      -2.03790792e-22
330.00      -2.15997752e-22       9.00060312e-22      -1.45889185e-23       1.45274823e-21       1.42255015e-22       6.09028447e-24
340.00      -2.76429883e-22       9.68943974e-22       5.22272475e-23       1.62576489e-21       1.71446497e-22       1.76235074e-22
350.00      -3.32950745e-22       1.03958450e-21       1.48638455e-22       1.74957937e-21       2.30196282e-22       3.02612956e-22
360.00      -3.87118340e-22       1.11207600e-21       2.39840919e-22       1.84112622e-21       2.96472773e-22       3.99507876e-22
370.00      -4.39924186e-22       1.18661584e-21       3.21877945e-22       1.91977502e-21       3.63573285e-22       4.77544857e-22
380.00      -4.92080033e-22       1.26350611e-21       3.99168411e-22       1.99430333e-21       4.29916343e-22       5.43037454e-22
390.00      -5.44021705e-22       1.34305189e-21       4.75735470e-22       2.06740898e-21       4.95443960e-22       5.99426748e-22
400.00      -5.96036716e-22       1.42567714e-21       5.54565480e-22       2.13935759e-21       5.60380768e-22       6.48626927e-22
410.00      -6.48226574e-22       1.51170365e-21       6.37383946e-22       2.20961317e-21       6.25048272e-22       6.91657263e-22
420.00      -7.00683555e-22       1.60160531e-21       7.25258183e-22       2.27725266e-21       6.89479845e-22       7.29075229e-22
430.00      -7.53344062e-22       1.69568918e-21       8.18674383e-22       2.34107955e-21       7.53746602e-22       7.61180597e-22
440.00      -8.06210040e-22       1.79414705e-21       9.17245083e-22       2.40027204e-21       8.17132095e-22       7.88383680e-22
450.00      -8.58901933e-22       1.89717176e-21       1.02067152e-21       2.45335239e-21       8.79909067e-22       8.10785320e-22
460.00      -9.11295263e-22       2.00517677e-21       1.12856222e-21       2.49947050e-21       9.41527581e-22       8.28635117e-22
470.00      -9.63431005e-22       2.11870468e-21       1.24054574e-21       2.53822568e-21       1.00200053e-21       8.42115903e-22
480.00      -1.01535093e-21       2.23822119e-21       1.35602798e-21       2.56923372e-21       1.06114731e-21       8.51509415e-22
490.00      -1.06689908e-21       2.36413614e-21       1.47416188e-21       2.59199308e-21       1.11881797e-21       8.57011856e-22
500.00      -1.11752464e-21       2.49693014e-21       1.59388585e-21       2.60579874e-21       1.17458669e-21       8.58872157e-22
510.00      -1.16660769e-21       2.63710146e-21       1.71406675e-21       2.61009547e-21       1.22816122e-21       8.57317583e-22
520.00      -1.21338993e-21       2.78510905e-21       1.83346734e-21       2.60457574e-21       1.27932173e-21       8.52460804e-22
530.00      -1.25730410e-21       2.94161561e-21       1.95101730e-21       2.58938856e-21       1.32792940e-21       8.44786411e-22
540.00      -1.29787920e-21       3.10693219e-21       2.06556578e-21       2.56521255e-21       1.37388196e-21       8.34581461e-22
550.00      -1.33410181e-21       3.28131535e-21       2.17579903e-21       2.53251960e-21       1.41706077e-21       8.22304554e-22
560.00      -1.36504398e-21       3.46485487e-21       2.28074352e-21       2.49218311e-21       1.45746015e-21       8.08361083e-22
570.00      -1.38987983e-21       3.65779282e-21       2.37965398e-21       2.44519756e-21       1.49509456e-21       7.92953350e-22
580.00      -1.40719212e-21       3.86062352e-21       2.47215694e-21       2.39213772e-21       1.53001666e-21       7.76346397e-22
590.00      -1.41617964e-21       4.07356193e-21       2.55797711e-21       2.33421093e-21       1.56234353e-21       7.58870241e-22
600.00      -1.41480310e-21       4.29628613e-21       2.63654980e-21       2.27229435e-21       1.59213089e-21       7.40755985e-22
610.00      -1.40195078e-21       4.52839105e-21       2.70789341e-21       2.20725010e-21       1.61948367e-21       7.22253273e-22
620.00      -1.37604546e-21       4.76951043e-21       2.77208143e-21       2.14031877e-21       1.64453480e-21       7.03556200e-22
630.00      -1.33466561e-21       5.01894456e-21       2.82902767e-21       2.07194991e-21       1.66737864e-21       6.84729699e-22
640.00      -1.27625938e-21       5.27516580e-21       2.87903459e-21       2.00307095e-21       1.68800704e-21       6.66099416e-22
650.00      -1.20030286e-21       5.53675857e-21       2.92274846e-21       1.93475954e-21       1.70690813e-21       6.47875690e-22
660.00      -1.10596831e-21       5.80220995e-21       2.96076558e-21       1.86751774e-21       1.72415960e-21       6.29891973e-22
670.00      -9.90882984e-22       6.07039086e-21       2.99353125e-21       1.80157175e-21       1.73989147e-21       6.12377490e-22
680.00      -8.53812874e-22       6.33852854e-21       3.02118877e-21       1.73723096e-21       1.75419570e-21       5.95341190e-22
690.00      -6.94424137e-22       6.60312199e-21       3.04418633e-21       1.67484830e-21       1.76710794e-21       5.78883396e-22
700.00      -5.08813617e-22       6.86424869e-21       3.06301266e-21       1.61378251e-21       1.77863617e-21       5.62682431e-22
710.00      -2.97300350e-22       7.11785554e-21       3.07797383e-21       1.55457723e-21       1.78891632e-21       5.46905779e-22
720.00      -6.43019628e-23       7.35591726e-21       3.08936074e-21       1.49859734e-21       1.79827658e-21       5.32118076e-22
730.00       1.83839302e-22       7.57178826e-21       3.09744758e-21       1.44701444e-21       1.80685121e-21       5.18686267e-22
740.00       4.51719053e-22       7.76263660e-21       3.10191982e-21       1.39852655e-21       1.81426708e-21       5.06227858e-22
750.00       7.39534255e-22       7.92911714e-21       3.10353561e-21       1.35218198e-21       1.82059461e-21       4.94268538e-22
760.00       1.03963691e-21       8.07065522e-21       3.10325070e-21       1.30833844e-21       1.82630285e-21       4.82980415e-22
770.00       1.34256102e-21       8.18934105e-21       3.10233322e-21       1.26761934e-21       1.83187219e-21       4.72425533e-22
780.00       1.63622677e-21       8.27978301e-21       3.10079392e-21       1.23165905e-21       1.83746993e-21       4.63275757e-22
790.00       1.89716804e-21       8.33350749e-21       3.09821021e-21       1.20342045e-21       1.84330462e-21       4.56798356e-22
800.00       2.13793411e-21       8.42158425e-21       3.10346143e-21       1.17666100e-21       1.85202025e-21       4.49641087e-22
