% Al_l180nm_w90nm_h60nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00       3.38277706e-22       1.33958691e-21       2.11010082e-22       1.36605989e-21       7.50532301e-22      -4.95149630e-22
310.00       3.50880299e-22       1.22312144e-21       2.06854150e-22       1.44907302e-21       7.28307825e-22      -6.50711587e-22
320.00       2.62276329e-22       1.13362572e-21       1.95702371e-22       1.53169677e-21       5.83100953e-22      -8.01323039e-22
330.00       1.33007208e-22       1.10996658e-21       1.72469591e-22       1.61977134e-21       3.18227485e-22      -8.28371667e-22
340.00       5.54104207e-24       1.13716563e-21       1.33187768e-22       1.72589497e-21       7.51264596e-23      -6.63254269e-22
350.00      -1.07636808e-22       1.19344768e-21       8.55593285e-23       1.87239162e-21      -2.53331861e-23      -4.05020229e-22
360.00      -2.06758206e-22       1.26486425e-21       6.62143164e-23       2.07585008e-21      -6.07305300e-24      -1.69662812e-22
370.00      -2.95045718e-22       1.34427506e-21       1.23832136e-22       2.30434327e-21       6.86607805e-23       1.05390231e-23
380.00      -3.75764354e-22       1.42823788e-21       2.49463741e-22       2.49389756e-21       1.60445564e-22       1.44595914e-22
390.00      -4.51396132e-22       1.51526964e-21       3.92177149e-22       2.62720361e-21       2.53716512e-22       2.47016366e-22
400.00      -5.23674346e-22       1.60486662e-21       5.24235987e-22       2.72560904e-21       3.43531843e-22       3.28470645e-22
410.00      -5.93875810e-22       1.69679506e-21       6.42826207e-22       2.80868749e-21       4.29022644e-22       3.95748593e-22
420.00      -6.62757525e-22       1.79147207e-21       7.53481234e-22       2.88596988e-21       5.10408919e-22       4.52816018e-22
430.00      -7.30955249e-22       1.88904928e-21       8.60843002e-22       2.96081670e-21       5.88386904e-22       5.02131980e-22
440.00      -7.98747370e-22       1.98948418e-21       9.67862251e-22       3.03365114e-21       6.63326625e-22       5.45247803e-22
450.00      -8.66408046e-22       2.09291137e-21       1.07629055e-21       3.10415973e-21       7.35644412e-22       5.83183816e-22
460.00      -9.34000456e-22       2.19973164e-21       1.18764789e-21       3.17140921e-21       8.05785642e-22       6.16562379e-22
470.00      -1.00192701e-21       2.31032140e-21       1.30281605e-21       3.23499225e-21       8.73917308e-22       6.45811788e-22
480.00      -1.07048489e-21       2.42515087e-21       1.42237025e-21       3.29439922e-21       9.40394070e-22       6.71243007e-22
490.00      -1.13982491e-21       2.54443260e-21       1.54621230e-21       3.34889753e-21       1.00532292e-21       6.93149442e-22
500.00      -1.20976447e-21       2.66860945e-21       1.67420255e-21       3.39725272e-21       1.06858153e-21       7.11604554e-22
510.00      -1.28004527e-21       2.79794380e-21       1.80585677e-21       3.43856644e-21       1.13015879e-21       7.26775649e-22
520.00      -1.35019790e-21       2.93323528e-21       1.94064677e-21       3.47148822e-21       1.18982898e-21       7.38719617e-22
530.00      -1.42011676e-21       3.07484821e-21       2.07805992e-21       3.49554555e-21       1.24762298e-21       7.47591008e-22
540.00      -1.48973099e-21       3.22290763e-21       2.21675016e-21       3.51073199e-21       1.30342191e-21       7.53695330e-22
550.00      -1.55871702e-21       3.37787079e-21       2.35592087e-21       3.51654270e-21       1.35716312e-21       7.57208529e-22
560.00      -1.62676417e-21       3.53980875e-21       2.49416670e-21       3.51331582e-21       1.40880423e-21       7.58423782e-22
570.00      -1.69332505e-21       3.70913151e-21       2.63055620e-21       3.50096202e-21       1.45818090e-21       7.57584099e-22
580.00      -1.75820922e-21       3.88648232e-21       2.76441429e-21       3.47952849e-21       1.50537932e-21       7.54742147e-22
590.00      -1.82067891e-21       4.07220985e-21       2.89476450e-21       3.44943564e-21       1.55035447e-21       7.50220603e-22
600.00      -1.88041369e-21       4.26653630e-21       3.02069800e-21       3.41142847e-21       1.59313575e-21       7.44163617e-22
610.00      -1.93669815e-21       4.46975883e-21       3.14140368e-21       3.36620684e-21       1.63371494e-21       7.36772726e-22
620.00      -1.98888293e-21       4.68217128e-21       3.25632641e-21       3.31425681e-21       1.67217953e-21       7.28292847e-22
630.00      -2.03572035e-21       4.90393330e-21       3.36469407e-21       3.25651505e-21       1.70842850e-21       7.18896207e-22
640.00      -2.07602223e-21       5.13529991e-21       3.46602071e-21       3.19340244e-21       1.74247513e-21       7.08751603e-22
650.00      -2.10987081e-21       5.37553192e-21       3.56017001e-21       3.12649082e-21       1.77462203e-21       6.98094192e-22
660.00      -2.13682084e-21       5.62489618e-21       3.64759856e-21       3.05704507e-21       1.80500419e-21       6.87082909e-22
670.00      -2.15568403e-21       5.88369312e-21       3.72828894e-21       2.98522811e-21       1.83365275e-21       6.75687936e-22
680.00      -2.16503014e-21       6.15205431e-21       3.80214506e-21       2.91155234e-21       1.86059567e-21       6.64038277e-22
690.00      -2.16307777e-21       6.42849800e-21       3.86893327e-21       2.83719023e-21       1.88585549e-21       6.52309197e-22
700.00      -2.14798845e-21       6.71582057e-21       3.92935928e-21       2.76087341e-21       1.90942451e-21       6.40335037e-22
710.00      -2.11864915e-21       7.01240026e-21       3.98358952e-21       2.68417189e-21       1.93142336e-21       6.28158956e-22
720.00      -2.07495746e-21       7.31300539e-21       4.03124257e-21       2.60922186e-21       1.95207851e-21       6.16436634e-22
730.00      -2.01697849e-21       7.61197005e-21       4.07213990e-21       2.53805623e-21       1.97155844e-21       6.05689391e-22
740.00      -1.93949721e-21       7.91051241e-21       4.10619453e-21       2.46876994e-21       1.98952406e-21       5.95485851e-22
750.00      -1.83987778e-21       8.21142018e-21       4.13445573e-21       2.40014487e-21       2.00597853e-21       5.85478268e-22
760.00      -1.72285083e-21       8.51154856e-21       4.15868728e-21       2.33409318e-21       2.02143752e-21       5.75767606e-22
770.00      -1.59290998e-21       8.80843963e-21       4.18017361e-21       2.27144022e-21       2.03645239e-21       5.66498478e-22
780.00      -1.45426500e-21       9.09128292e-21       4.19836121e-21       2.21483218e-21       2.05107364e-21       5.58486312e-22
790.00      -1.31587819e-21       9.33896135e-21       4.21208422e-21       2.16913381e-21       2.06561742e-21       5.53079598e-22
800.00      -1.21138985e-21       9.60671989e-21       4.23649695e-21       2.12749870e-21       2.08305296e-21       5.46758570e-22
