% Al_l130nm_w120nm_h40nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
300.00      -1.22084828e-22       9.77377661e-22      -1.48146226e-22       1.05000110e-21       1.89172991e-22       1.10072501e-22
310.00      -1.62609775e-22       1.00013582e-21      -1.70511358e-22       1.08823053e-21       2.63895717e-22       1.76897564e-22
320.00      -2.35081620e-22       1.02574851e-21      -2.15152048e-22       1.11191895e-21       3.28066035e-22       2.20074056e-22
330.00      -3.21238236e-22       1.08460493e-21      -2.95523673e-22       1.15253556e-21       3.83659267e-22       2.51828579e-22
340.00      -3.94399795e-22       1.16839975e-21      -3.81256770e-22       1.23586537e-21       4.33386219e-22       2.77155893e-22
350.00      -4.52073677e-22       1.26037056e-21      -4.44300019e-22       1.34360106e-21       4.79043919e-22       2.98171334e-22
360.00      -4.99959936e-22       1.35413543e-21      -4.87304821e-22       1.45551177e-21       5.21648461e-22       3.15847634e-22
370.00      -5.42353590e-22       1.44869932e-21      -5.19323419e-22       1.56600724e-21       5.62066971e-22       3.30621766e-22
380.00      -5.81739819e-22       1.54464274e-21      -5.45855823e-22       1.67568602e-21       6.00513338e-22       3.42936190e-22
390.00      -6.19266087e-22       1.64289723e-21      -5.69181008e-22       1.78625762e-21       6.37368100e-22       3.52902110e-22
400.00      -6.55406909e-22       1.74429639e-21      -5.90062447e-22       1.89917714e-21       6.72666574e-22       3.60732567e-22
410.00      -6.90308026e-22       1.84962017e-21      -6.08555423e-22       2.01565461e-21       7.06544901e-22       3.66504768e-22
420.00      -7.23761045e-22       1.95954944e-21      -6.24352954e-22       2.13660240e-21       7.38944798e-22       3.70379236e-22
430.00      -7.55524097e-22       2.07462437e-21      -6.36829111e-22       2.26262253e-21       7.69877175e-22       3.72497149e-22
440.00      -7.85365292e-22       2.19492732e-21      -6.45651396e-22       2.39374865e-21       7.99343679e-22       3.73064726e-22
450.00      -8.12514434e-22       2.32072532e-21      -6.49831704e-22       2.53006017e-21       8.27292390e-22       3.72298480e-22
460.00      -8.36461283e-22       2.45244429e-21      -6.48508070e-22       2.67185054e-21       8.53682013e-22       3.70277534e-22
470.00      -8.56973387e-22       2.59061114e-21      -6.41224162e-22       2.81959848e-21       8.78643516e-22       3.67154989e-22
480.00      -8.73780003e-22       2.73590218e-21      -6.27421074e-22       2.97369418e-21       9.02229432e-22       3.63008637e-22
490.00      -8.86267195e-22       2.88848229e-21      -6.06191219e-22       3.13410827e-21       9.24489897e-22       3.57988011e-22
500.00      -8.93248373e-22       3.04862186e-21      -5.76145900e-22       3.30059099e-21       9.45373676e-22       3.52242043e-22
510.00      -8.93379263e-22       3.21648146e-21      -5.35668098e-22       3.47267733e-21       9.64873673e-22       3.45838362e-22
520.00      -8.85248975e-22       3.39214784e-21      -4.83110844e-22       3.64974519e-21       9.82993327e-22       3.38909078e-22
530.00      -8.67654811e-22       3.57563408e-21      -4.17296904e-22       3.83113918e-21       9.99803031e-22       3.31552595e-22
540.00      -8.39284670e-22       3.76667604e-21      -3.36743231e-22       4.01578013e-21       1.01538806e-21       3.23885250e-22
550.00      -7.99068439e-22       3.96457762e-21      -2.40871704e-22       4.20192447e-21       1.02978588e-21       3.16018194e-22
560.00      -7.45244697e-22       4.16809025e-21      -1.28354866e-22       4.38753672e-21       1.04306763e-21       3.08022676e-22
570.00      -6.76429853e-22       4.37646717e-21       1.48625292e-24       4.57068663e-21       1.05528998e-21       3.00014395e-22
580.00      -5.91121012e-22       4.58869583e-21       1.49531927e-22       4.74958565e-21       1.06652978e-21       2.91985754e-22
590.00      -4.88180638e-22       4.80328953e-21       3.15862097e-22       4.92189433e-21       1.07686705e-21       2.83985815e-22
600.00      -3.65823742e-22       5.01781264e-21       5.00272721e-22       5.08418705e-21       1.08632362e-21       2.76074091e-22
610.00      -2.23801371e-22       5.23010753e-21       7.01883511e-22       5.23415658e-21       1.09498823e-21       2.68352832e-22
620.00      -6.10720220e-23       5.43751970e-21       9.19602576e-22       5.36893963e-21       1.10292817e-21       2.60790161e-22
630.00       1.22768013e-22       5.63668625e-21       1.15165095e-21       5.48539597e-21       1.11014336e-21       2.53395053e-22
640.00       3.27563816e-22       5.82418215e-21       1.39561132e-21       5.58094554e-21       1.11669598e-21       2.46262771e-22
650.00       5.50998131e-22       5.99752559e-21       1.64761667e-21       5.65475611e-21       1.12271675e-21       2.39378363e-22
660.00       7.90691899e-22       6.15459921e-21       1.90418523e-21       5.70698523e-21       1.12827755e-21       2.32754731e-22
670.00       1.04602036e-21       6.29263975e-21       2.16334316e-21       5.73604662e-21       1.13340218e-21       2.26364645e-22
680.00       1.31420794e-21       6.40889691e-21       2.42117130e-21       5.74219090e-21       1.13806740e-21       2.20215663e-22
690.00       1.59177953e-21       6.50100560e-21       2.67441189e-21       5.72532915e-21       1.14233173e-21       2.14350923e-22
700.00       1.87986399e-21       6.56781309e-21       2.92349575e-21       5.68567718e-21       1.14617381e-21       2.08645745e-22
710.00       2.17269286e-21       6.60828131e-21       3.16398907e-21       5.62501455e-21       1.14963268e-21       2.03141713e-22
720.00       2.46127752e-21       6.62122571e-21       3.38891349e-21       5.54655030e-21       1.15281811e-21       1.98011983e-22
730.00       2.73589164e-21       6.60825732e-21       3.59232540e-21       5.45494152e-21       1.15587283e-21       1.93409606e-22
740.00       2.99891717e-21       6.56730978e-21       3.77647223e-21       5.34841513e-21       1.15858147e-21       1.89216770e-22
750.00       3.25175365e-21       6.50177731e-21       3.94437069e-21       5.22919017e-21       1.16091693e-21       1.85245001e-22
760.00       3.48981670e-21       6.41796344e-21       4.09558084e-21       5.10345796e-21       1.16305164e-21       1.81511875e-22
770.00       3.70953557e-21       6.32422775e-21       4.23032309e-21       4.97798591e-21       1.16522662e-21       1.78032859e-22
780.00       3.90187928e-21       6.22514059e-21       4.34342209e-21       4.85828038e-21       1.16749821e-21       1.75038249e-22
790.00       4.05048202e-21       6.12661726e-21       4.42482247e-21       4.75222249e-21       1.17004456e-21       1.73054532e-22
800.00       4.20180226e-21       6.06684348e-21       4.51861069e-21       4.67514137e-21       1.17372296e-21       1.70572718e-22
