% Al_d120nm_h40nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -3.68612124e-22       1.76340111e-21      -3.68612124e-22       1.76340111e-21       6.98128564e-22       4.21303284e-22
410.00      -3.62162466e-22       1.87509229e-21      -3.62162466e-22       1.87509229e-21       7.24312939e-22       4.15260027e-22
420.00      -3.48677655e-22       1.99260006e-21      -3.48677655e-22       1.99260006e-21       7.48728175e-22       4.07616707e-22
430.00      -3.26922823e-22       2.11582093e-21      -3.26922823e-22       2.11582093e-21       7.71323945e-22       3.98600536e-22
440.00      -2.95852604e-22       2.24395492e-21      -2.95852604e-22       2.24395492e-21       7.92066258e-22       3.88592107e-22
450.00      -2.54297718e-22       2.37594893e-21      -2.54297718e-22       2.37594893e-21       8.10963978e-22       3.77887087e-22
460.00      -2.00907407e-22       2.51087975e-21      -2.00907407e-22       2.51087975e-21       8.28071704e-22       3.66648955e-22
470.00      -1.34519031e-22       2.64794144e-21      -1.34519031e-22       2.64794144e-21       8.43526168e-22       3.55027456e-22
480.00      -5.43173285e-23       2.78611932e-21      -5.43173285e-23       2.78611932e-21       8.57495096e-22       3.43163652e-22
490.00       4.07553929e-23       2.92360941e-21       4.07553929e-23       2.92360941e-21       8.70063038e-22       3.31171691e-22
500.00       1.51637143e-22       3.05808066e-21       1.51637143e-22       3.05808066e-21       8.81280333e-22       3.19192035e-22
510.00       2.78907723e-22       3.18681095e-21       2.78907723e-22       3.18681095e-21       8.91193337e-22       3.07328796e-22
520.00       4.22909648e-22       3.30684714e-21       4.22909648e-22       3.30684714e-21       8.99884394e-22       2.95640439e-22
530.00       5.82897858e-22       3.41539602e-21       5.82897858e-22       3.41539602e-21       9.07458379e-22       2.84183837e-22
540.00       7.57479275e-22       3.50953902e-21       7.57479275e-22       3.50953902e-21       9.14039451e-22       2.73037472e-22
550.00       9.44263806e-22       3.58646259e-21       9.44263806e-22       3.58646259e-21       9.19705827e-22       2.62257656e-22
560.00       1.14028757e-21       3.64390099e-21       1.14028757e-21       3.64390099e-21       9.24591848e-22       2.51903727e-22
570.00       1.34236924e-21       3.68021858e-21       1.34236924e-21       3.68021858e-21       9.28754311e-22       2.41979282e-22
580.00       1.54741891e-21       3.69446358e-21       1.54741891e-21       3.69446358e-21       9.32261763e-22       2.32473700e-22
590.00       1.75160274e-21       3.68655059e-21       1.75160274e-21       3.68655059e-21       9.35192788e-22       2.23389910e-22
600.00       1.95126515e-21       3.65717410e-21       1.95126515e-21       3.65717410e-21       9.37612566e-22       2.14709571e-22
610.00       2.14299958e-21       3.60779080e-21       2.14299958e-21       3.60779080e-21       9.39598130e-22       2.06483115e-22
620.00       2.32381780e-21       3.54062707e-21       2.32381780e-21       3.54062707e-21       9.41194324e-22       1.98675510e-22
630.00       2.49167338e-21       3.45755987e-21       2.49167338e-21       3.45755987e-21       9.42416333e-22       1.91285411e-22
640.00       2.64437387e-21       3.36097814e-21       2.64437387e-21       3.36097814e-21       9.43289352e-22       1.84304318e-22
650.00       2.78109591e-21       3.25573669e-21       2.78109591e-21       3.25573669e-21       9.43943085e-22       1.77737183e-22
660.00       2.90213434e-21       3.14444552e-21       2.90213434e-21       3.14444552e-21       9.44454978e-22       1.71547432e-22
670.00       3.00788651e-21       3.02895179e-21       3.00788651e-21       3.02895179e-21       9.44757844e-22       1.65690134e-22
680.00       3.09871764e-21       2.91140043e-21       3.09871764e-21       2.91140043e-21       9.44909547e-22       1.60184389e-22
690.00       3.17520178e-21       2.79364280e-21       3.17520178e-21       2.79364280e-21       9.44912671e-22       1.55018944e-22
700.00       3.23931983e-21       2.67571158e-21       3.23931983e-21       2.67571158e-21       9.44709273e-22       1.50085029e-22
710.00       3.29177741e-21       2.55965449e-21       3.29177741e-21       2.55965449e-21       9.44383749e-22       1.45406843e-22
720.00       3.33248756e-21       2.44856794e-21       3.33248756e-21       2.44856794e-21       9.44003682e-22       1.41109472e-22
730.00       3.36200325e-21       2.34536003e-21       3.36200325e-21       2.34536003e-21       9.43669109e-22       1.37305673e-22
740.00       3.38131625e-21       2.24737308e-21       3.38131625e-21       2.24737308e-21       9.43188968e-22       1.33885897e-22
750.00       3.39259992e-21       2.15313787e-21       3.39259992e-21       2.15313787e-21       9.42542202e-22       1.30711069e-22
760.00       3.39840469e-21       2.06488533e-21       3.39840469e-21       2.06488533e-21       9.41883108e-22       1.27765564e-22
770.00       3.40065801e-21       1.98377812e-21       3.40065801e-21       1.98377812e-21       9.41341581e-22       1.25040301e-22
780.00       3.39897627e-21       1.91262075e-21       3.39897627e-21       1.91262075e-21       9.41009671e-22       1.22749071e-22
790.00       3.39164876e-21       1.85617698e-21       3.39164876e-21       1.85617698e-21       9.41027750e-22       1.21289638e-22
800.00       3.39766802e-21       1.80743535e-21       3.39766802e-21       1.80743535e-21       9.42006064e-22       1.19422484e-22
