% Al_d100nm_h20nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00      -5.54572452e-22       1.24140993e-21      -5.54572452e-22       1.24140993e-21       2.50289056e-22       4.96868568e-23
410.00      -5.42048118e-22       1.35826981e-21      -5.42048118e-22       1.35826981e-21       2.51479460e-22       4.70095986e-23
420.00      -5.15939558e-22       1.48343932e-21      -5.15939558e-22       1.48343932e-21       2.52446779e-22       4.44949680e-23
430.00      -4.72985525e-22       1.61535137e-21      -4.72985525e-22       1.61535137e-21       2.53213882e-22       4.21368288e-23
440.00      -4.10309426e-22       1.75088242e-21      -4.10309426e-22       1.75088242e-21       2.53827927e-22       3.99480886e-23
450.00      -3.25712968e-22       1.88550689e-21      -3.25712968e-22       1.88550689e-21       2.54316623e-22       3.79260955e-23
460.00      -2.17213504e-22       2.01457765e-21      -2.17213504e-22       2.01457765e-21       2.54689623e-22       3.60585067e-23
470.00      -8.50376064e-23       2.13290374e-21      -8.50376064e-23       2.13290374e-21       2.54974147e-22       3.43204567e-23
480.00       6.91103937e-23       2.23532115e-21       6.91103937e-23       2.23532115e-21       2.55195619e-22       3.26918262e-23
490.00       2.41728466e-22       2.31628392e-21       2.41728466e-22       2.31628392e-21       2.55362554e-22       3.11601905e-23
500.00       4.28748031e-22       2.37050385e-21       4.28748031e-22       2.37050385e-21       2.55475702e-22       2.97269774e-23
510.00       6.23586783e-22       2.39441021e-21       6.23586783e-22       2.39441021e-21       2.55537584e-22       2.83858375e-23
520.00       8.18609324e-22       2.38628553e-21       8.18609324e-22       2.38628553e-21       2.55548541e-22       2.71412104e-23
530.00       1.00674584e-21       2.34769686e-21       1.00674584e-21       2.34769686e-21       2.55519308e-22       2.59683481e-23
540.00       1.18103468e-21       2.28233645e-21       1.18103468e-21       2.28233645e-21       2.55457072e-22       2.48735830e-23
550.00       1.33634723e-21       2.19549465e-21       1.33634723e-21       2.19549465e-21       2.55370833e-22       2.38541927e-23
560.00       1.46989496e-21       2.09275650e-21       1.46989496e-21       2.09275650e-21       2.55262586e-22       2.29015285e-23
570.00       1.58061955e-21       1.98043888e-21       1.58061955e-21       1.98043888e-21       2.55142569e-22       2.20181906e-23
580.00       1.66970792e-21       1.86328147e-21       1.66970792e-21       1.86328147e-21       2.55007044e-22       2.11919664e-23
590.00       1.73879716e-21       1.74542562e-21       1.73879716e-21       1.74542562e-21       2.54855116e-22       2.04192016e-23
600.00       1.79013366e-21       1.63043680e-21       1.79013366e-21       1.63043680e-21       2.54700329e-22       1.96994560e-23
610.00       1.82623560e-21       1.52042179e-21       1.82623560e-21       1.52042179e-21       2.54537894e-22       1.90273504e-23
620.00       1.84963464e-21       1.41680207e-21       1.84963464e-21       1.41680207e-21       2.54371595e-22       1.84016911e-23
630.00       1.86229642e-21       1.32011397e-21       1.86229642e-21       1.32011397e-21       2.54197217e-22       1.78224388e-23
640.00       1.86624656e-21       1.23072154e-21       1.86624656e-21       1.23072154e-21       2.54017361e-22       1.72859755e-23
650.00       1.86385170e-21       1.14937685e-21       1.86385170e-21       1.14937685e-21       2.53844328e-22       1.67921270e-23
660.00       1.85689419e-21       1.07565145e-21       1.85689419e-21       1.07565145e-21       2.53683826e-22       1.63336324e-23
670.00       1.84640978e-21       1.00859959e-21       1.84640978e-21       1.00859959e-21       2.53525207e-22       1.59065974e-23
680.00       1.83319443e-21       9.47886864e-22       1.83319443e-21       9.47886864e-22       2.53370761e-22       1.55111669e-23
690.00       1.81773488e-21       8.92922396e-22       1.81773488e-21       8.92922396e-22       2.53215029e-22       1.51529498e-23
700.00       1.80083815e-21       8.42261118e-22       1.80083815e-21       8.42261118e-22       2.53054976e-22       1.48084635e-23
710.00       1.78291007e-21       7.95955618e-22       1.78291007e-21       7.95955618e-22       2.52887813e-22       1.44861935e-23
720.00       1.76428649e-21       7.55031747e-22       1.76428649e-21       7.55031747e-22       2.52736236e-22       1.42065280e-23
730.00       1.74525081e-21       7.20215012e-22       1.74525081e-21       7.20215012e-22       2.52615838e-22       1.39895755e-23
740.00       1.72517314e-21       6.89519461e-22       1.72517314e-21       6.89519461e-22       2.52484995e-22       1.38194153e-23
750.00       1.70450164e-21       6.61446598e-22       1.70450164e-21       6.61446598e-22       2.52343264e-22       1.36778920e-23
760.00       1.68436878e-21       6.36271371e-22       1.68436878e-21       6.36271371e-22       2.52204965e-22       1.35572710e-23
770.00       1.66583813e-21       6.14380960e-22       1.66583813e-21       6.14380960e-22       2.52100617e-22       1.34550380e-23
780.00       1.64849809e-21       5.97079327e-22       1.64849809e-21       5.97079327e-22       2.52045960e-22       1.34107062e-23
790.00       1.63196267e-21       5.87385896e-22       1.63196267e-21       5.87385896e-22       2.52074951e-22       1.34958425e-23
800.00       1.62466016e-21       5.78833252e-22       1.62466016e-21       5.78833252e-22       2.52276649e-22       1.34760076e-23
