% Al_d60nm_h70nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00       6.40642180e-22       6.94628865e-22       6.40642180e-22       6.94628865e-22      -7.66273911e-23       1.31599135e-21
410.00       6.85932850e-22       6.59525591e-22       6.85932850e-22       6.59525591e-22       1.50587352e-23       1.40811638e-21
420.00       7.23358988e-22       6.21373886e-22       7.23358988e-22       6.21373886e-22       1.25763058e-22       1.48864424e-21
430.00       7.53270028e-22       5.81809981e-22       7.53270028e-22       5.81809981e-22       2.53270022e-22       1.55194672e-21
440.00       7.76260339e-22       5.42437754e-22       7.76260339e-22       5.42437754e-22       3.92801355e-22       1.59310917e-21
450.00       7.93205683e-22       5.04432772e-22       7.93205683e-22       5.04432772e-22       5.37629032e-22       1.60920145e-21
460.00       8.05087790e-22       4.68326026e-22       8.05087790e-22       4.68326026e-22       6.81368454e-22       1.59957460e-21
470.00       8.12904369e-22       4.34515535e-22       8.12904369e-22       4.34515535e-22       8.17627999e-22       1.56653702e-21
480.00       8.17611867e-22       4.03090876e-22       8.17611867e-22       4.03090876e-22       9.41843415e-22       1.51402486e-21
490.00       8.19864133e-22       3.74103575e-22       8.19864133e-22       3.74103575e-22       1.05063697e-21       1.44672936e-21
500.00       8.20075475e-22       3.47417573e-22       8.20075475e-22       3.47417573e-22       1.14248528e-21       1.36891927e-21
510.00       8.18669046e-22       3.23001040e-22       8.18669046e-22       3.23001040e-22       1.21700751e-21       1.28487712e-21
520.00       8.15918190e-22       3.00640834e-22       8.15918190e-22       3.00640834e-22       1.27509487e-21       1.19857256e-21
530.00       8.12217678e-22       2.80215111e-22       8.12217678e-22       2.80215111e-22       1.31848349e-21       1.11292463e-21
540.00       8.07814118e-22       2.61597753e-22       8.07814118e-22       2.61597753e-22       1.34919767e-21       1.03038222e-21
550.00       8.02909133e-22       2.44642234e-22       8.02909133e-22       2.44642234e-22       1.36923811e-21       9.52314254e-22
560.00       7.97680656e-22       2.29249426e-22       7.97680656e-22       2.29249426e-22       1.38062631e-21       8.79762035e-22
570.00       7.92213670e-22       2.15251548e-22       7.92213670e-22       2.15251548e-22       1.38516116e-21       8.13011313e-22
580.00       7.86632349e-22       2.02471004e-22       7.86632349e-22       2.02471004e-22       1.38436818e-21       7.51876076e-22
590.00       7.80998013e-22       1.90824005e-22       7.80998013e-22       1.90824005e-22       1.37955080e-21       6.96196940e-22
600.00       7.75420908e-22       1.80217250e-22       7.75420908e-22       1.80217250e-22       1.37175344e-21       6.45811887e-22
610.00       7.69864403e-22       1.70503472e-22       7.69864403e-22       1.70503472e-22       1.36173105e-21       6.00198899e-22
620.00       7.64430737e-22       1.61646207e-22       7.64430737e-22       1.61646207e-22       1.35017313e-21       5.59038174e-22
630.00       7.59072367e-22       1.53569037e-22       7.59072367e-22       1.53569037e-22       1.33741050e-21       5.21897272e-22
640.00       7.53803601e-22       1.46196797e-22       7.53803601e-22       1.46196797e-22       1.32389135e-21       4.88471641e-22
650.00       7.48765965e-22       1.39491543e-22       7.48765965e-22       1.39491543e-22       1.31009379e-21       4.58396747e-22
660.00       7.43921563e-22       1.33346051e-22       7.43921563e-22       1.33346051e-22       1.29640899e-21       4.31390824e-22
670.00       7.39263522e-22       1.27707909e-22       7.39263522e-22       1.27707909e-22       1.28283262e-21       4.06947247e-22
680.00       7.34780821e-22       1.22539970e-22       7.34780821e-22       1.22539970e-22       1.26945187e-21       3.84875354e-22
690.00       7.30479671e-22       1.17843485e-22       7.30479671e-22       1.17843485e-22       1.25631655e-21       3.64990128e-22
700.00       7.26246696e-22       1.13436967e-22       7.26246696e-22       1.13436967e-22       1.24336979e-21       3.46672581e-22
710.00       7.22160975e-22       1.09362605e-22       7.22160975e-22       1.09362605e-22       1.23067298e-21       3.29898176e-22
720.00       7.18271246e-22       1.05735340e-22       7.18271246e-22       1.05735340e-22       1.21848081e-21       3.15042919e-22
730.00       7.14658002e-22       1.02656163e-22       7.14658002e-22       1.02656163e-22       1.20686730e-21       3.02365133e-22
740.00       7.11103706e-22       1.00010973e-22       7.11103706e-22       1.00010973e-22       1.19540630e-21       2.91292795e-22
750.00       7.07564548e-22       9.76163289e-23       7.07564548e-22       9.76163289e-23       1.18401581e-21       2.81226418e-22
760.00       7.04196473e-22       9.54640976e-23       7.04196473e-22       9.54640976e-23       1.17313343e-21       2.72169584e-22
770.00       7.01115693e-22       9.35411594e-23       7.01115693e-22       9.35411594e-23       1.16313367e-21       2.64143962e-22
780.00       6.98441462e-22       9.20746516e-23       6.98441462e-22       9.20746516e-23       1.15412169e-21       2.57768559e-22
790.00       6.96232727e-22       9.15019879e-23       6.96232727e-22       9.15019879e-23       1.14615587e-21       2.54210651e-22
800.00       6.95231644e-22       9.04897363e-23       6.95231644e-22       9.04897363e-23       1.14180883e-21       2.50181801e-22
