% Al_d50nm_h60nm
% units: lam in nm, alpha in m^3
% lam         Re(alpha_xx)         Im(alpha_xx)         Re(alpha_yy)         Im(alpha_yy)         Re(alpha_zz)         Im(alpha_zz)
400.00       5.19626121e-22       3.12320227e-22       5.19626121e-22       3.12320227e-22       2.33942304e-22       1.15451110e-21
410.00       5.23507897e-22       2.82242978e-22       5.23507897e-22       2.82242978e-22       3.69258866e-22       1.16096433e-21
420.00       5.24182917e-22       2.55192553e-22       5.24182917e-22       2.55192553e-22       5.00154665e-22       1.13723670e-21
430.00       5.22511214e-22       2.31059049e-22       5.22511214e-22       2.31059049e-22       6.17433007e-22       1.08753613e-21
440.00       5.19239409e-22       2.09765108e-22       5.19239409e-22       2.09765108e-22       7.14817370e-22       1.01938762e-21
450.00       5.14909972e-22       1.91098699e-22       5.14909972e-22       1.91098699e-22       7.89898599e-22       9.41223429e-22
460.00       5.09854910e-22       1.74687790e-22       5.09854910e-22       1.74687790e-22       8.44073378e-22       8.59629548e-22
470.00       5.04471646e-22       1.60237218e-22       5.04471646e-22       1.60237218e-22       8.80569571e-22       7.80008152e-22
480.00       4.98956474e-22       1.47402373e-22       4.98956474e-22       1.47402373e-22       9.03180116e-22       7.05080256e-22
490.00       4.93502049e-22       1.36021786e-22       4.93502049e-22       1.36021786e-22       9.15157471e-22       6.36645594e-22
500.00       4.88079116e-22       1.25870714e-22       4.88079116e-22       1.25870714e-22       9.19040783e-22       5.74920793e-22
510.00       4.82745137e-22       1.16803998e-22       4.82745137e-22       1.16803998e-22       9.16940878e-22       5.19804586e-22
520.00       4.77537531e-22       1.08721797e-22       4.77537531e-22       1.08721797e-22       9.10588598e-22       4.70965533e-22
530.00       4.72474158e-22       1.01455117e-22       4.72474158e-22       1.01455117e-22       9.01362856e-22       4.27776210e-22
540.00       4.67580976e-22       9.49096773e-23       4.67580976e-22       9.49096773e-23       8.90253204e-22       3.89684967e-22
550.00       4.62876878e-22       8.90205494e-23       4.62876878e-22       8.90205494e-23       8.78043281e-22       3.56188124e-22
560.00       4.58384279e-22       8.37273623e-23       4.58384279e-22       8.37273623e-23       8.65235549e-22       3.26757695e-22
570.00       4.54096009e-22       7.89575409e-23       4.54096009e-22       7.89575409e-23       8.52251353e-22       3.00889271e-22
580.00       4.49996912e-22       7.46355511e-23       4.49996912e-22       7.46355511e-23       8.39287896e-22       2.77996001e-22
590.00       4.46088462e-22       7.07084815e-23       4.46088462e-22       7.07084815e-23       8.26566534e-22       2.57727833e-22
600.00       4.42344053e-22       6.71355024e-23       4.42344053e-22       6.71355024e-23       8.14178688e-22       2.39723285e-22
610.00       4.38812311e-22       6.38954238e-23       4.38812311e-22       6.38954238e-23       8.02254534e-22       2.23741772e-22
620.00       4.35424197e-22       6.09352502e-23       4.35424197e-22       6.09352502e-23       7.90786690e-22       2.09496674e-22
630.00       4.32209693e-22       5.82642900e-23       4.32209693e-22       5.82642900e-23       7.79754183e-22       1.96805964e-22
640.00       4.29117988e-22       5.58344069e-23       4.29117988e-22       5.58344069e-23       7.69158134e-22       1.85485134e-22
650.00       4.26214598e-22       5.36358865e-23       4.26214598e-22       5.36358865e-23       7.59160267e-22       1.75411698e-22
660.00       4.23467951e-22       5.16279614e-23       4.23467951e-22       5.16279614e-23       7.49721609e-22       1.66373744e-22
670.00       4.20873628e-22       4.97911042e-23       4.20873628e-22       4.97911042e-23       7.40800570e-22       1.58239387e-22
680.00       4.18403828e-22       4.81164498e-23       4.18403828e-22       4.81164498e-23       7.32346021e-22       1.50927978e-22
690.00       4.16062619e-22       4.66071131e-23       4.16062619e-22       4.66071131e-23       7.24340518e-22       1.44393603e-22
700.00       4.13798757e-22       4.51934365e-23       4.13798757e-22       4.51934365e-23       7.16628602e-22       1.38347038e-22
710.00       4.11599275e-22       4.38769308e-23       4.11599275e-22       4.38769308e-23       7.09243395e-22       1.32809144e-22
720.00       4.09535375e-22       4.27345931e-23       4.09535375e-22       4.27345931e-23       7.02273102e-22       1.27980038e-22
730.00       4.07646812e-22       4.18326872e-23       4.07646812e-22       4.18326872e-23       6.95827419e-22       1.24042609e-22
740.00       4.05823581e-22       4.11090508e-23       4.05823581e-22       4.11090508e-23       6.89594705e-22       1.20752187e-22
750.00       4.03994299e-22       4.04777444e-23       4.03994299e-22       4.04777444e-23       6.83422041e-22       1.17799269e-22
760.00       4.02267689e-22       3.99317784e-23       4.02267689e-22       3.99317784e-23       6.77598479e-22       1.15194876e-22
770.00       4.00715096e-22       3.94698569e-23       4.00715096e-22       3.94698569e-23       6.72317311e-22       1.12956967e-22
780.00       3.99361796e-22       3.92081396e-23       3.99361796e-22       3.92081396e-23       6.67627163e-22       1.11415947e-22
790.00       3.98289104e-22       3.93785847e-23       3.98289104e-22       3.93785847e-23       6.63617842e-22       1.11231538e-22
800.00       3.97843927e-22       3.92724245e-23       3.97843927e-22       3.92724245e-23       6.61545145e-22       1.10541139e-22
